报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,5073.336,2444.316,4633.785,2422.595,5504.296,2977.524,5800.078,3033.348
除税前盈利/(亏损),580.707,324.393,566.626,321.927,565.449,313.24,522.735,282.09
税项,-78.912,-47.88,-80.577,-47.515,-80.31,-46.003,-74.037,-41.394
除税后盈利/(亏损),501.795,276.513,486.049,274.412,485.139,267.237,448.698,240.696
少数股东权益,4.869,0.327,4.762,0.196,5.252,1.599,4.149,0.724
股东应占盈利/(亏损),496.926,276.186,481.287,274.216,479.887,265.638,444.549,239.972
股息,397.163,,397.163,,397.163,,397.163,
除税及股息后盈利/(亏损),99.763,276.186,84.124,274.216,82.724,265.638,47.386,239.972
基本每股盈利(仙),20.000000,11.000000,19.000000,11.000000,19.000000,10.700000,18.000000,9.670000
摊薄每股盈利(仙),--,--,--,--,--,--,--,--
每股股息(仙),16.000000,--,16.000000,--,16.000000,--,16.000000,--
销售成本,-4151.846,-1933.774,-3769.839,-1939.204,-4476.437,-2418.258,-4926.202,-2558.154
折旧,-50.246,-25.105,-65.056,-35.635,-203.78,-76.107,-252.772,-148.238
销售及分销费用,-226.758,-159.67,-202.093,-116.593,-374.248,-210.702,-310.424,-168.039
一般及行政费用,-232.48,-109.995,-218.647,-127.237,-215.831,-114.241,-174.301,-94.079
利息费用/融资成本,--,--,--,--,--,--,--,--
毛利,921.49,510.542,863.946,483.391,1027.859,559.266,873.876,475.194
经营盈利,580.707,324.393,566.626,321.927,565.449,313.24,522.735,282.09
应占联营公司盈利,0.21,0.145,0.208,0.145,0.278,0.117,0.269,0.165
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
