报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,50.692906,38.880019,37.754517,45.122063,-71.67159,-66.575455,-72.433763,-115.316799
投资活动之现金流入净额,-2.328704,111.016693,-23.403027,40.524918,44.446595,-44.787176,-70.84671,225.372357
融资活动之现金流入净额,-0.281305,-120.014322,3.389423,-23.270196,-6.113381,-28.783351,-11.194174,49.027148
现金及现金等价物增加,48.082897,29.88239,17.740914,62.376785,-33.338376,-140.145982,-154.474646,159.082706
会计年初之现金及现金等价物,331.032952,301.159591,301.159591,238.80162,275.779837,379.793686,379.793686,219.90431
会计年终之现金及现金等价物,379.274157,331.032952,318.905321,301.159591,242.441517,238.80162,225.31904,379.793686
外汇兑换率变动之影响,0.158308,-0.009029,0.004816,-0.018814,5.6E-5,-0.846085,--,0.80667
购置固定资产款项,-4.6852,-35.544852,-27.364881,-9.756011,-5.603605,-37.83555,-24.30493,-121.601015
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
