报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,366.008,174.232,311.921,169.832,232.399,165.661
投资活动之现金流入净额,-280.408,-120.675,-189.033,-74.537,-119.238,-92.744
融资活动之现金流入净额,528.4,606.451,-203.339,-91.35,2.184,-63.226
现金及现金等价物增加,614,660.008,-80.451,3.945,115.345,9.691
会计年初之现金及现金等价物,229.648,229.648,302.23,302.23,183.779,173.322
会计年终之现金及现金等价物,812.108,885.71,229.648,309.319,302.23,183.779
外汇兑换率变动之影响,-31.54,-3.946,7.869,3.144,3.106,0.766
购置固定资产款项,-265.108,-121.948,-197.948,-82.708,-108.299,-94.693
币种,人民币,人民币,人民币,人民币,人民币,人民币
