报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,901.328,414.006,805.921,382.966,612.637,380.612,265.163
除税前盈利/(亏损),147.589,53.038,114.586,47.548,81.692,26.853,16.929
税项,-17.257,-8.989,-14.553,-6.752,-9.538,-3.364,-2.351
除税后盈利/(亏损),130.332,44.049,100.033,40.796,72.154,23.489,14.578
少数股东权益,,,,,,,
股东应占盈利/(亏损),130.332,44.049,100.033,40.796,72.154,23.489,14.578
股息,,,26.824,,,,5
除税及股息后盈利/(亏损),130.332,44.049,73.209,40.796,72.154,23.489,9.578
基本每股盈利(仙),12.000000,4.000000,12.000000,5.000000,,,
摊薄每股盈利(仙),--,--,12.000000,--,--,--,--
每股股息(仙),7.500000,--,2.700000,--,--,--,--
销售成本,-692.644,-330.809,-623.66,-301.913,-490.66,-313.77,-215.413
折旧,-9.109,-3.989,-7.518,-3.67,-3.848,-3.34,-3.226
销售及分销费用,-18.539,-6.502,-10.58,-4.663,-8.976,-4.82,-4.84
一般及行政费用,-33.603,-13.715,-25.824,-9.52,-16.488,-13.104,-11.122
利息费用/融资成本,-4.351,-2.938,-5.096,-2.879,-8.542,-9.944,-10.702
毛利,208.684,83.197,182.261,81.053,121.977,66.842,49.75
经营盈利,147.589,53.038,114.586,47.548,81.692,26.853,16.929
应占联营公司盈利,30.563,11.356,23.36,10.668,14.478,0.454,-0.303
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
