报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31
报表类型,年报,中报,年报,中报,年报
非流动资产,1.597,1.871,2.155,2.439,2.723
流动资产,195.615,205.096,169.071,136.716,138.216
流动负债,65.851,79.617,61.763,44.778,58.44
净流动资产/(负债),129.764,125.479,107.308,91.938,79.776
非流动负债,--,--,--,--,--
少数股东权益 - (借)/贷,,,,,
净资产/(负债),131.361,127.35,109.463,94.377,82.499
已发行股本,12.8,12.8,12.8,12.8,12.8
储备,118.561,114.55,96.663,81.577,69.699
股东权益/(亏损),131.361,127.35,109.463,94.377,82.499
无形资产(非流动资产),--,--,--,--,--
物业、厂房及设备(非流动资产),0.465,0.75,1.035,1.32,1.605
附属公司权益(非流动资产),--,--,--,--,--
联营公司权益 (非流动资产),,,,,
其他投资(非流动资产),,,,,
应收账款(流动资产),48.411,74.653,87.395,40.894,42.472
存货(流动资产),--,0.029,0.029,0.032,0.03
现金及银行结存(流动资产),32.443,34.594,7.059,23.358,4.021
应付帐款(流动负债),44.54,33.112,30.206,10.802,20.314
银行贷款(流动负债),2.136,19.518,--,0.427,8.901
非流动银行贷款,--,--,--,--,--
总资产,197.212,206.967,171.226,139.155,140.939
总负债,65.851,79.617,61.763,44.778,58.44
股份数目(香港),1280000000股,1280000000股,1280000000股,1280000000股,1280000000股
币种,港币,港币,港币,港币,港币
