报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,414.405,212.56,340.996,178.243,273.994,206.495
除税前盈利/(亏损),249.956,117.79,112.889,80.345,110.067,81.028
税项,-16.634,-7.544,-2.358,-0.573,-5.816,-2.294
除税后盈利/(亏损),233.322,110.246,112.197,80.324,103.821,81.308
少数股东权益,-0.046,-0.033,0.442,-0.045,-0.002,
股东应占盈利/(亏损),233.368,110.279,111.755,80.369,103.823,81.308
股息,65.831,30.053,,,137,12
除税及股息后盈利/(亏损),167.537,80.226,111.755,80.369,-33.177,69.308
基本每股盈利(仙),17.000000,9.000000,10.000000,7.000000,,
摊薄每股盈利(仙),17.000000,9.000000,10.000000,7.000000,--,--
每股股息(仙),4.600000,2.100000,--,--,--,--
销售成本,-186.905,-91.272,-177.409,-77.911,-138.367,-105.725
折旧,-33.28,-16.417,-34.163,-16.653,-25.596,-21.737
销售及分销费用,-3.64,-2.261,-3.174,-0.702,-3.375,-3.877
一般及行政费用,-58.117,-31.837,-59.929,-23.159,-36.892,-30.144
利息费用/融资成本,-39.554,-18.937,-36.089,-15.13,-29.554,-20.264
毛利,227.5,121.288,163.587,100.332,135.627,100.77
经营盈利,249.956,117.79,112.889,80.345,110.067,81.028
应占联营公司盈利,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币
