报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
非流动资产,18.157,12.429,12.948,13.304
流动资产,48.852,20.072,28.706,18.191
流动负债,12.897,10.739,20.714,12.986
净流动资产/(负债),35.955,9.333,7.992,5.205
非流动负债,1.525,0.241,0.039,0.017
少数股东权益 - (借)/贷,,,,
净资产/(负债),52.587,21.521,20.901,18.492
已发行股本,1.454,1.5,1.5,1.5
储备,51.133,20.021,19.401,16.992
股东权益/(亏损),52.587,21.521,20.901,18.492
无形资产(非流动资产),0.192,0.135,0.14,0.123
物业、厂房及设备(非流动资产),17.801,12.169,12.679,13.03
附属公司权益(非流动资产),--,--,--,--
联营公司权益 (非流动资产),,,,
其他投资(非流动资产),0.164,0.125,0.129,0.151
应收账款(流动资产),1.696,4.746,3.393,1.975
存货(流动资产),--,--,--,--
现金及银行结存(流动资产),30.704,8.761,18.081,8.715
应付帐款(流动负债),3.285,2.905,2.61,1.668
银行贷款(流动负债),0.388,--,--,--
非流动银行贷款,1.349,--,--,--
总资产,67.009,32.501,41.654,31.495
总负债,14.422,10.98,20.753,13.003
股份数目(香港),840000000股,--,--,--
币种,新加坡元,新加坡元,新加坡元,新加坡元
