报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
非流动资产,435.614,401.78,385.589,379.772,375.906,342.493,336.618,251.469
流动资产,1202.993,987.161,1016.504,934.68,924.313,975.032,800.816,712.778
流动负债,642.742,619.111,668.073,630.044,619.901,680.608,559.679,461.682
净流动资产/(负债),560.251,368.05,348.431,304.636,304.412,294.424,241.137,251.096
非流动负债,84.347,25.265,49.01,64.478,74.817,86.686,51.03,66.336
少数股东权益 - (借)/贷,,,,,,,,
净资产/(负债),911.518,744.565,685.01,619.93,605.501,550.231,526.725,436.229
已发行股本,83.326,83.326,82.66,82.66,82.66,82.66,82.66,82.66
储备,576.899,409.946,364.448,299.368,284.939,39.74,46.1,28.598
股东权益/(亏损),911.518,744.565,685.01,619.93,605.501,550.231,526.725,436.229
无形资产(非流动资产),12.124,11.253,11.035,11.869,10.785,10.389,9.72,6.82
物业、厂房及设备(非流动资产),423.49,390.527,374.554,367.903,365.121,332.104,324.886,237.963
附属公司权益(非流动资产),--,--,--,--,--,--,--,--
联营公司权益 (非流动资产),,,,,,,,
其他投资(非流动资产),,,,,,,,
应收账款(流动资产),297.978,215.405,213.079,178.661,186.227,198.799,211.113,111.222
存货(流动资产),305.468,274.642,264.388,270.477,254.402,303.888,239.119,214.192
现金及银行结存(流动资产),540.815,357.95,381.31,314.131,319.951,289.704,266.526,305.134
应付帐款(流动负债),264.104,211.294,211.355,210.45,230.769,217.139,179.433,115.167
银行贷款(流动负债),32.705,123.599,164.984,174.115,137.288,156.883,84.729,70.164
非流动银行贷款,65.21,6.725,34.31,49.743,68.051,79.696,46.632,59.078
总资产,1638.607,1388.941,1402.093,1314.452,1300.219,1317.525,1137.434,964.247
总负债,727.089,644.376,717.083,694.522,694.718,767.294,610.709,528.018
股份数目(香港),833260000股,833260000股,826600000股,826600000股,826600000股,826600000股,826600000股,826600000股
币种,港币,港币,港币,港币,港币,港币,港币,港币
