报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
利息收入,9859.358,4642.002,8487.615,3904.232,6080.644,4679.68,2580.485
利息支出,-5123.465,-2453.662,-3954.276,-1841.764,-2708.365,-2113.341,-1121.859
净利息收入,4735.893,2188.34,4533.339,2062.468,3372.279,2566.339,1458.626
其他经营收入,423.945,279.895,545.405,282.382,541.051,345.813,131.028
经营收入,5840.303,2868.28,5954.185,2650.823,4267.953,3245.618,1817.958
经营支出,-3030.072,-1204.845,-2608.088,-1094.649,-2044.073,-1482.103,-878.126
总准备,-748.049,-556.674,-382.818,-245.284,-350.105,-185.732,-216.571
其他盈利/(亏损),0,0,0,0,0,0,0
除税前盈利/(亏损),2085.437,1119.091,2973.071,1314.826,1875.942,1577.783,723.261
税项,-447.023,-218.842,-657.176,-281.967,-473.713,-347.034,-180.689
除税后盈利/(亏损),1638.414,900.249,2315.895,1032.859,1402.229,1230.749,542.572
少数股东权益,362.858,,429.099,,186.408,127.729,7.958
股东应占盈利/(亏损),1275.556,900.249,1886.796,1032.859,1215.821,1103.02,534.614
股息,717.2635845599999,,1195.4393076,,883.44,414.552,321.01
除税及股息后盈利/(亏损),558.29241544,900.249,691.3566924,1032.859,332.381,688.468,213.604
基本每股营利(仙),32.190000,17.900000,57.270000,26.300000,,,
摊薄每股盈利(仙),32.190000,17.900000,57.270000,26.300000,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
