报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
非流动资产,154.853,128.652,107.177
流动资产,358.181,237.775,252.032
流动负债,362.533,229.69,243.681
净流动资产/(负债),-4.352,8.085,8.351
非流动负债,7.453,4.326,5.728
少数股东权益 - (借)/贷,,,
净资产/(负债),143.048,132.411,109.8
已发行股本,0.009,32.001,20
储备,143.039,100.41,89.8
股东权益/(亏损),143.048,132.411,109.8
无形资产(非流动资产),--,--,--
物业、厂房及设备(非流动资产),129.47,107.87,86.488
附属公司权益(非流动资产),--,--,--
联营公司权益 (非流动资产),,,
其他投资(非流动资产),16.593,16.196,15.925
应收账款(流动资产),81.145,60.032,63.771
存货(流动资产),146.247,103.438,93.476
现金及银行结存(流动资产),32.634,11.87,20.863
应付帐款(流动负债),165.44,131.292,108.901
银行贷款(流动负债),57.832,24.479,69.819
非流动银行贷款,--,--,--
总资产,513.034,366.427,359.209
总负债,369.986,234.016,249.409
股份数目(香港),--,--,--
币种,港币,港币,港币
