报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
非流动资产,28.455,27.844,27.668,24.164,23.425,18.895,19.022
流动资产,103.746,44.732,46.222,55.828,65.788,35.159,32.45
流动负债,13.113,4.259,3.53,10.121,22.199,4.564,9.559
净流动资产/(负债),90.633,40.473,42.692,45.707,43.589,30.595,22.891
非流动负债,7.905,7.762,7.624,7.213,7.078,5.681,5.129
少数股东权益 - (借)/贷,,,,,,,
净资产/(负债),111.183,60.555,62.736,62.658,59.936,43.809,36.784
已发行股本,4.698,4.188,4.188,4.188,4.188,,
储备,106.485,56.367,58.548,58.47,55.748,43.809,36.784
股东权益/(亏损),111.183,60.555,62.736,62.658,59.936,43.809,36.784
无形资产(非流动资产),5.142,5.181,5.209,5.243,3.85,3.181,3.224
物业、厂房及设备(非流动资产),12.187,12.548,13.034,13.444,13.91,12.282,13.015
附属公司权益(非流动资产),--,--,--,--,--,--,--
联营公司权益 (非流动资产),,,,,,,
其他投资(非流动资产),,,,,,,
应收账款(流动资产),3.381,4.084,5.478,4.794,4.76,3.325,1.24
存货(流动资产),2.421,2.685,2.887,2.32,2.253,2.026,3.869
现金及银行结存(流动资产),32.206,30.148,34.641,27.464,32.097,23.631,12.634
应付帐款(流动负债),1.896,1.363,1.254,1.059,0.952,0.67,1
银行贷款(流动负债),--,--,--,7.314,14.323,--,--
非流动银行贷款,--,--,--,--,--,--,--
总资产,132.201,72.576,73.89,79.992,89.213,54.054,51.472
总负债,21.018,12.021,11.154,17.334,29.277,10.245,14.688
股份数目(香港),--,500000000股,500000000股,500000000股,500000000股,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
