序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2006-03-31,6,"19,942.440",7.350
2,2005-12-31,12,"11,004.540",5.510
3,2005-09-30,1,659.910,0.410
4,2005-06-30,3,804.660,0.620
5,2005-03-31,2,678.930,0.510
6,2004-12-31,4,874.130,0.660
7,2004-09-30,3,"2,033.700",1.080
8,2004-06-30,4,"1,179.490",0.610
9,2003-12-31,4,"3,103.330",1.420
10,2003-06-30,4,"5,842.930",2.710
11,2002-12-31,15,"9,609.250",4.610
12,2002-09-30,1,"1,030.180",0.420
13,2002-06-30,16,"19,339.970",6.880
14,2002-03-31,4,"7,638.370",2.490
15,2001-12-31,3,"7,316.920",2.460
16,2001-09-30,1,"1,225.380",0.390
17,2001-06-30,4,"9,528.480",2.800
18,2001-03-31,1,"1,138.330",0.300
19,2000-12-31,9,"26,662.240",8.620
20,2000-09-30,1,"8,547.440",3.020
21,2000-06-30,4,"17,474.280",6.210
22,1999-09-30,1,"4,604.890",3.680
