序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,4,189.050,0.040
2,2017-06-30,4,"1,707.830",0.570
3,2016-12-31,5,"11,281.680",4.850
4,2016-09-30,1,"10,519.030",4.710
5,2016-06-30,9,"13,489.500",6.510
6,2015-12-31,2,"1,830.680",0.750
7,2012-03-31,1,"1,487.990",1.260
8,2011-12-31,4,"3,388.280",2.900
9,2011-09-30,1,"5,749.980",3.610
10,2011-06-30,5,"10,872.630",4.910
11,2011-03-31,7,"32,775.680",11.920
12,2010-12-31,20,"41,872.040",15.640
13,2010-09-30,1,"1,366.490",0.720
14,2010-06-30,4,"5,486.080",3.560
15,2009-12-31,3,"1,104.340",0.620
16,2006-12-31,1,0.110,0.000
17,2006-06-30,1,0.110,0.000
18,2005-12-31,1,0.080,0.000
19,2005-09-30,1,80.430,0.150
20,2005-06-30,1,0.090,0.000
21,2004-12-31,1,6.480,0.010
22,2004-09-30,2,"3,127.900",3.070
23,2004-06-30,1,28.100,0.030
24,2003-12-31,1,119.100,0.120
25,2002-12-31,1,13.560,0.010
26,2002-06-30,5,"2,126.360",1.580
