序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,1,936.630,0.150
2,2018-12-31,9,"1,804.020",0.320
3,2018-09-30,1,"2,247.280",0.290
4,2018-06-30,10,"1,165.890",0.180
5,2018-03-31,1,1.350,0.000
6,2017-12-31,21,"2,319.740",0.220
7,2017-09-30,2,"2,539.810",0.210
8,2017-06-30,54,"17,838.300",1.920
9,2017-03-31,7,"14,761.190",1.420
10,2016-12-31,56,"30,459.400",2.910
11,2016-09-30,2,"8,962.370",0.840
12,2016-06-30,68,"47,325.750",4.560
13,2016-03-31,8,"25,806.980",2.300
14,2015-12-31,77,"61,974.990",5.170
15,2015-09-30,3,"12,171.470",1.580
16,2015-06-30,36,"50,538.630",3.440
17,2015-03-31,2,"18,305.050",2.480
18,2014-12-31,28,"9,584.000",2.200
19,2014-09-30,2,486.850,0.090
20,2014-06-30,26,"9,288.870",2.770
21,2014-03-31,3,"4,649.870",1.540
22,2013-12-31,20,"4,660.130",2.000
23,2013-09-30,1,"4,695.370",1.690
24,2013-06-30,17,"7,267.100",2.720
25,2013-03-31,1,"2,366.480",0.800
26,2012-12-31,9,"5,531.900",3.140
27,2012-09-30,7,"7,573.830",3.840
28,2012-06-30,1,"2,800.640",1.540
29,2012-03-31,2,"5,569.530",3.040
30,2011-12-31,3,"7,426.030",5.260
31,2011-09-30,2,"10,195.160",5.130
32,2011-06-30,3,"3,608.100",1.720
33,2011-03-31,2,"17,832.880",6.990
34,2010-12-31,2,"11,053.970",6.990
35,2006-12-31,1,0.180,0.000
36,2006-06-30,1,0.120,0.000
37,2005-12-31,1,0.090,0.000
38,2005-06-30,1,0.110,0.000
39,2004-12-31,1,0.160,0.000
40,2004-06-30,1,0.190,0.000
41,2002-12-31,2,553.950,0.990
42,2002-06-30,5,"1,759.820",2.220
43,2001-12-31,1,195.220,0.250
44,2001-06-30,2,"1,508.180",1.170
45,2000-12-31,3,"6,479.870",4.360
46,2000-06-30,2,"2,136.600",1.340
