序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-06-30,20,"9,899.390",3.200
2,2017-03-31,4,"9,136.760",2.280
3,2016-12-31,22,"21,123.420",4.630
4,2016-09-30,6,"14,636.680",3.250
5,2016-06-30,29,"23,099.770",5.750
6,2016-03-31,19,"21,339.000",6.770
7,2015-12-31,50,"52,905.070",10.120
8,2015-09-30,2,"4,195.000",1.320
9,2015-06-30,1,236.000,0.050
10,2015-03-31,1,"2,784.460",0.610
11,2006-12-31,1,0.990,0.000
12,2006-06-30,1,0.920,0.000
13,2006-03-31,1,873.820,1.550
14,2005-12-31,1,0.580,0.000
15,2005-09-30,1,"1,461.240",2.730
16,2005-06-30,2,"1,360.600",2.650
17,2005-03-31,2,"3,015.490",4.880
18,2004-12-31,4,"7,349.230",9.900
19,2004-09-30,3,"7,916.220",9.160
20,2004-06-30,4,"6,455.110",7.490
21,2003-12-31,1,144.850,0.180
22,2003-06-30,1,241.690,0.230
23,2002-12-31,8,"4,675.290",4.140
24,2002-09-30,1,"2,699.400",1.940
25,2002-06-30,7,"7,684.120",4.340
26,2001-12-31,5,775.880,0.500
27,2001-06-30,3,"19,067.460",8.960
28,2001-03-31,2,"27,980.170",12.650
29,2000-12-31,6,"30,756.100",17.270
30,2000-09-30,2,"20,022.010",12.290
31,2000-06-30,2,"21,815.190",14.250
32,2000-03-31,1,"10,794.580",10.520
33,1999-09-30,1,"10,272.110",11.540
34,1999-03-31,1,"1,721.100",2.950
