序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,28,"69,793.050",10.680
2,2017-12-31,99,"155,273.840",18.000
3,2017-09-30,35,"123,918.970",28.520
4,2017-06-30,65,"181,512.490",48.330
5,2017-03-31,23,"80,633.080",11.120
6,2016-12-31,19,"21,446.170",7.960
7,2016-09-30,4,"12,771.580",2.830
8,2016-06-30,16,"10,822.840",2.660
9,2016-03-31,4,"7,727.530",1.940
10,2015-12-31,16,"11,896.870",2.660
11,2015-06-30,7,"11,591.060",1.800
12,2015-03-31,1,"1,792.010",0.380
13,2014-12-31,2,"1,810.240",0.390
14,2014-09-30,1,"1,382.050",0.320
15,2014-06-30,2,657.950,0.180
16,2013-12-31,10,"1,142.440",0.270
17,2013-09-30,1,"1,154.010",0.280
18,2013-06-30,28,"3,643.250",0.970
19,2013-03-31,4,"12,970.610",2.230
20,2012-12-31,60,"32,243.420",5.090
21,2012-09-30,8,"31,845.720",4.520
22,2012-06-30,71,"67,038.500",8.560
23,2012-03-31,5,"36,891.450",4.600
24,2011-12-31,53,"61,442.440",8.390
25,2011-09-30,7,"78,800.170",7.670
26,2011-06-30,64,"241,611.810",18.570
27,2011-03-31,7,"115,385.190",8.870
28,2010-12-31,60,"208,428.670",15.620
29,2010-09-30,6,"40,699.160",4.640
30,2010-06-30,35,"46,937.590",6.720
31,2010-03-31,9,"49,075.310",4.740
32,2009-12-31,36,"113,276.250",10.330
33,2009-09-30,7,"64,034.110",7.180
34,2009-06-30,27,"87,568.590",9.550
35,2009-03-31,7,"52,993.940",7.270
36,2008-12-31,19,"51,383.130",10.570
37,2008-09-30,7,"48,350.270",12.620
38,2008-06-30,34,"288,711.670",39.260
39,2008-03-31,9,"164,051.740",29.160
40,2007-12-31,19,"343,588.770",43.070
41,2007-09-30,9,"209,385.440",36.180
42,2007-06-30,6,"14,050.370",7.280
43,2006-12-31,1,0.250,0.000
44,2006-09-30,1,702.160,0.860
45,2006-06-30,7,"1,647.420",1.720
46,2006-03-31,2,833.150,0.860
47,2005-12-31,4,503.950,0.620
48,2005-09-30,3,"1,027.010",1.240
49,2005-06-30,6,"1,672.750",2.170
50,2005-03-31,5,"11,329.840",10.590
51,2004-12-31,19,"31,781.560",21.500
52,2004-09-30,9,"22,032.510",15.820
53,2004-06-30,14,"22,205.510",19.930
54,2004-03-31,3,"15,007.360",10.060
55,2003-12-31,5,"2,330.680",1.960
56,2003-06-30,2,"1,777.090",1.940
57,2002-12-31,1,439.820,0.480
58,2002-06-30,1,649.820,0.530
59,2001-12-31,2,889.710,0.750
60,2001-06-30,1,"1,074.660",0.640
61,2000-12-31,15,"11,619.240",7.830
62,2000-06-30,22,"17,256.260",22.560
