序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,3,13.730,0.010
2,2017-09-30,2,"3,754.930",1.150
3,2017-06-30,18,"9,243.980",3.010
4,2017-03-31,3,"9,955.730",2.540
5,2016-12-31,32,"19,027.280",4.780
6,2016-09-30,2,"10,697.520",2.980
7,2016-06-30,25,"15,813.500",4.930
8,2016-03-31,6,"21,198.830",7.140
9,2015-12-31,20,"44,064.070",11.090
10,2015-09-30,6,"16,504.660",6.770
11,2015-06-30,12,"12,297.970",3.690
12,2015-03-31,2,"1,715.430",0.720
13,2014-12-31,4,"1,949.970",1.010
14,2014-09-30,2,"3,663.200",1.580
15,2014-06-30,1,20.320,0.010
16,2011-03-31,1,"8,479.650",4.350
17,2010-12-31,2,"7,917.080",4.270
18,2010-09-30,1,"5,298.020",2.820
19,2010-06-30,1,"3,513.500",2.450
20,2010-03-31,1,"4,654.980",2.450
21,2009-12-31,1,"4,799.240",2.490
22,2009-09-30,2,"2,964.000",3.010
23,2009-06-30,2,"4,423.650",3.930
24,2008-12-31,1,224.970,0.420
25,2007-03-31,1,"1,561.110",2.910
26,2006-12-31,1,1.940,0.010
27,2006-06-30,1,2.360,0.010
28,2005-12-31,1,1.570,0.010
29,2005-06-30,1,1.460,0.010
30,2004-12-31,1,9.130,0.050
31,2004-06-30,1,22.610,0.090
32,2002-12-31,1,"1,871.070",5.060
33,2002-06-30,3,"2,751.060",5.570
34,2001-12-31,3,"2,885.830",5.420
35,2001-09-30,1,"2,184.330",3.650
36,2001-06-30,3,"3,476.390",4.430
37,2000-12-31,2,"1,826.010",2.400
