序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,1,5.140,0.000
2,2017-09-30,1,5.890,0.000
3,2017-06-30,4,"3,177.230",0.580
4,2016-12-31,3,"4,202.740",0.710
5,2016-09-30,1,"3,481.400",0.800
6,2016-06-30,9,"8,263.930",1.940
7,2016-03-31,3,"7,461.750",1.830
8,2015-12-31,9,"6,176.310",1.340
9,2015-06-30,10,"13,748.760",2.220
10,2015-03-31,1,"1,785.460",0.420
11,2014-12-31,6,90.650,0.030
12,2014-06-30,7,328.640,0.140
13,2013-12-31,5,146.900,0.060
14,2013-06-30,8,"1,125.010",0.470
15,2012-12-31,6,"1,120.370",0.450
16,2012-09-30,1,"2,586.540",1.390
17,2012-06-30,11,"4,872.980",2.530
18,2012-03-31,5,"14,257.970",6.300
19,2011-12-31,16,"27,972.080",11.450
20,2011-09-30,8,"34,659.780",12.890
21,2011-06-30,8,"12,431.310",4.460
22,2010-12-31,1,445.160,0.150
23,2010-06-30,6,"11,896.980",5.010
24,2010-03-31,2,"5,024.220",2.230
25,2009-12-31,4,"4,488.310",1.880
26,2009-06-30,3,"2,070.110",1.100
27,2009-03-31,2,"3,896.140",2.310
28,2008-12-31,2,"1,756.640",2.310
29,2008-09-30,3,"2,449.790",4.060
30,2008-06-30,3,"5,448.490",4.760
31,2008-03-31,3,"8,441.480",6.820
32,2007-12-31,2,"2,486.130",2.140
33,2007-09-30,1,"1,514.540",1.450
34,2007-06-30,2,"4,287.220",5.300
35,2007-03-31,1,"2,249.960",2.900
36,2006-12-31,2,"1,242.740",2.720
37,2006-09-30,1,"2,697.790",8.590
38,2006-06-30,1,4.520,0.010
39,2006-03-31,1,286.640,0.880
40,2005-12-31,3,212.300,0.560
41,2005-09-30,2,"1,364.800",3.190
42,2005-06-30,7,"3,267.230",8.100
43,2005-03-31,7,"17,786.190",34.370
44,2004-12-31,9,"18,387.240",34.320
45,2004-09-30,7,"11,358.320",23.050
46,2004-06-30,101,918.820,4.410
