序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,219,"157,666.000",10.440
2,2017-09-30,10,"9,854.120",0.840
3,2017-06-30,172,"185,987.070",19.280
4,2017-03-31,26,"116,555.330",12.360
5,2016-12-31,131,"138,812.350",16.220
6,2016-09-30,4,"39,851.400",5.180
7,2016-06-30,61,"99,067.690",11.510
8,2016-03-31,30,"215,883.250",21.120
9,2015-12-31,64,"145,363.390",19.120
10,2015-09-30,17,"107,388.070",20.310
11,2015-06-30,32,"102,434.090",14.550
12,2015-03-31,5,"51,569.810",8.170
13,2014-12-31,31,"71,643.620",15.570
14,2014-09-30,24,"137,274.840",19.130
15,2014-06-30,30,"85,960.330",17.610
16,2014-03-31,12,"72,140.020",12.370
17,2013-12-31,52,"93,910.260",22.070
18,2013-09-30,6,"29,215.370",8.140
19,2011-12-31,2,"1,140.050",0.760
20,2011-09-30,4,"13,507.880",5.450
21,2011-06-30,19,"51,905.100",18.710
22,2011-03-31,6,"46,619.150",17.050
23,2010-12-31,9,"24,745.690",10.280
24,2010-09-30,2,"3,230.140",1.530
25,2010-06-30,13,"29,795.950",16.800
26,2010-03-31,7,"58,243.330",17.580
27,2009-12-31,10,"27,505.810",11.780
28,2009-09-30,12,"22,496.860",15.420
29,2009-06-30,1,"1,023.150",0.850
30,2009-03-31,1,"1,449.440",1.180
31,2008-12-31,6,"5,283.580",5.230
32,2008-09-30,3,"2,487.160",2.580
33,2008-06-30,3,"4,253.410",2.570
34,2008-03-31,3,"6,006.890",2.800
35,2007-12-31,5,"14,439.020",2.980
36,2007-09-30,1,"6,350.460",1.460
37,2007-06-30,1,"5,204.050",2.390
38,2007-03-31,1,"2,857.280",2.290
39,2006-12-31,2,"1,359.780",3.660
40,2006-09-30,1,"2,482.960",6.770
41,2006-06-30,1,36.910,0.140
42,2005-12-31,2,39.390,0.140
43,2005-09-30,3,"2,517.210",7.360
44,2005-06-30,10,"6,709.170",22.630
45,2005-03-31,2,313.570,1.160
46,2004-12-31,4,"2,193.600",6.410
47,2004-09-30,3,"4,952.870",12.130
