序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-06-30,13,"1,731.810",0.680
2,2017-03-31,2,"4,286.610",1.470
3,2016-12-31,29,"9,674.710",2.860
4,2016-09-30,1,293.480,0.100
5,2016-06-30,6,817.550,0.270
6,2016-03-31,1,234.730,0.100
7,2015-12-31,2,589.370,0.180
8,2015-09-30,1,"1,192.520",0.420
9,2015-06-30,1,"1,192.520",0.420
10,2015-03-31,1,"1,192.520",0.450
11,2014-12-31,1,"2,200.550",0.910
12,2014-09-30,1,"3,085.320",1.480
13,2014-06-30,2,141.370,0.090
14,2013-12-31,1,0.130,0.000
15,2013-06-30,3,61.700,0.060
16,2012-12-31,6,148.880,0.150
17,2012-06-30,4,125.620,0.100
18,2012-03-31,1,"2,890.800",2.140
19,2011-12-31,2,"4,177.720",3.080
20,2011-06-30,1,"1,093.040",0.670
21,2009-09-30,2,"1,462.100",2.070
22,2009-06-30,2,"1,881.510",4.090
23,2007-06-30,1,928.220,2.640
24,2007-03-31,1,"1,102.140",3.070
25,2006-12-31,1,809.450,3.140
26,2006-09-30,1,"1,775.970",7.090
