序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,7,"26,360.550",1.060
2,2018-12-31,232,"126,561.680",6.490
3,2018-09-30,28,"52,206.770",2.080
4,2018-06-30,182,"120,071.680",5.010
5,2018-03-31,2,"2,280.000",0.100
6,2017-12-31,151,"45,248.430",1.980
7,2017-09-30,7,"20,575.560",0.650
8,2017-06-30,181,"110,964.780",3.720
9,2017-03-31,9,"27,399.450",0.940
10,2016-12-31,133,"110,882.810",3.480
11,2016-09-30,9,"32,690.760",1.160
12,2016-06-30,147,"143,065.290",5.300
13,2016-03-31,11,"21,184.030",0.830
14,2015-12-31,145,"185,361.090",5.480
15,2015-09-30,9,"28,485.910",1.200
16,2015-06-30,156,"208,703.470",5.430
17,2015-03-31,22,"109,514.490",2.660
18,2014-12-31,148,"346,476.540",14.590
19,2014-09-30,62,"505,479.770",18.320
20,2014-06-30,214,"861,056.350",32.370
21,2014-03-31,95,"657,012.590",24.680
22,2013-12-31,165,"573,330.590",28.520
23,2013-09-30,44,"290,256.440",15.010
24,2013-06-30,110,"264,960.240",22.660
25,2013-03-31,12,"106,323.000",10.370
26,2012-12-31,101,"163,304.820",19.660
27,2012-09-30,20,"149,844.950",14.330
28,2012-06-30,81,"226,199.030",22.430
29,2012-03-31,11,"126,154.710",13.630
30,2011-12-31,68,"221,229.120",22.400
31,2011-09-30,8,"60,095.290",6.820
32,2011-06-30,47,"136,933.310",15.490
33,2011-03-31,7,"70,214.500",7.810
34,2010-12-31,51,"227,855.780",22.230
35,2010-09-30,11,"94,707.340",9.420
36,2010-06-30,47,"188,052.000",23.420
37,2010-03-31,11,"110,592.560",13.300
38,2009-12-31,47,"184,932.990",23.900
39,2009-09-30,6,"58,097.850",9.680
40,2009-06-30,19,"63,699.120",38.550
41,2009-03-31,7,"42,393.930",29.800
42,2008-12-31,25,"32,086.480",28.730
43,2008-09-30,6,"13,328.830",14.730
44,2008-06-30,8,"16,049.980",14.190
45,2008-03-31,3,"11,119.300",8.150
46,2007-12-31,4,"7,172.940",4.830
47,2007-09-30,2,"3,732.060",2.630
48,2007-06-30,2,"2,270.640",3.180
49,2007-03-31,3,"7,366.920",9.970
50,2006-12-31,8,"8,085.240",13.610
51,2006-09-30,8,"8,596.060",16.940
