序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,4,"2,684.630",0.170
2,2018-12-31,205,"211,999.730",16.860
3,2018-09-30,33,"133,335.440",8.150
4,2018-06-30,195,"184,621.100",13.140
5,2018-03-31,21,"83,564.250",6.430
6,2017-12-31,138,"134,939.830",10.450
7,2017-09-30,4,"107,604.460",9.440
8,2017-06-30,116,"131,635.840",11.950
9,2017-03-31,4,"102,615.240",9.810
10,2016-12-31,107,"184,613.600",15.640
11,2016-09-30,7,"97,712.970",8.180
12,2016-06-30,110,"201,899.640",15.650
13,2016-03-31,12,"233,339.290",15.800
14,2015-12-31,136,"720,342.660",29.260
15,2015-09-30,16,"250,742.540",18.400
16,2015-06-30,146,"658,685.420",31.080
17,2015-03-31,22,"346,048.120",17.410
18,2014-12-31,118,"206,839.770",19.340
19,2014-09-30,33,"160,229.010",14.000
20,2014-06-30,85,"169,752.680",20.290
21,2014-03-31,5,"60,134.730",8.920
22,2013-12-31,68,"173,577.010",22.420
23,2013-09-30,15,"132,196.630",21.340
24,2013-06-30,36,"81,431.300",24.950
25,2013-03-31,10,"82,201.520",23.110
26,2012-12-31,33,"102,562.760",28.960
27,2012-09-30,9,"90,748.430",26.130
28,2012-06-30,36,"134,597.940",32.180
29,2012-03-31,8,"116,063.980",26.050
30,2011-12-31,32,"137,686.150",33.400
31,2011-09-30,7,"112,645.850",24.740
32,2011-06-30,29,"189,890.770",33.700
33,2011-03-31,9,"139,361.910",25.290
34,2010-12-31,33,"208,038.990",31.780
35,2010-09-30,10,"94,640.160",20.310
36,2010-06-30,30,"120,194.560",50.150
37,2010-03-31,10,"100,817.680",36.510
38,2009-12-31,18,"80,785.740",34.200
39,2009-09-30,7,"74,568.850",34.130
40,2009-06-30,18,"110,341.550",47.840
41,2009-03-31,7,"74,378.880",37.180
42,2008-12-31,30,"92,392.710",53.360
43,2008-09-30,7,"67,188.000",36.800
44,2008-06-30,20,"112,493.440",58.910
45,2008-03-31,10,"94,399.460",45.560
46,2007-12-31,26,"89,470.230",45.980
47,2007-09-30,9,"33,810.690",32.250
