序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,10,726.290,0.360
2,2018-09-30,1,"1,078.400",0.350
3,2018-06-30,5,70.670,0.020
4,2017-12-31,3,37.530,0.010
5,2017-06-30,6,"4,496.100",1.910
6,2017-03-31,6,"9,116.300",2.640
7,2016-12-31,11,"7,013.820",1.950
8,2016-09-30,1,"2,148.670",0.630
9,2016-06-30,20,"4,520.180",1.720
10,2016-03-31,1,164.720,0.070
11,2015-12-31,3,863.300,0.280
12,2015-09-30,1,"1,073.230",0.560
13,2015-06-30,4,"2,579.980",0.680
14,2015-03-31,1,605.330,0.270
15,2014-12-31,2,14.160,0.010
16,2014-09-30,1,12.610,0.010
17,2014-06-30,4,17.470,0.010
18,2014-03-31,1,3.140,0.000
19,2013-12-31,6,44.150,0.040
20,2013-06-30,5,46.260,0.040
21,2012-12-31,5,86.210,0.070
22,2012-06-30,6,163.370,0.100
23,2011-12-31,3,135.680,0.080
24,2011-06-30,2,"1,330.630",0.630
25,2010-12-31,1,284.760,0.110
26,2010-06-30,10,"9,140.750",7.530
27,2010-03-31,3,"5,833.630",4.830
28,2009-12-31,1,0.630,0.000
29,2009-09-30,2,602.380,0.810
30,2009-06-30,2,316.090,0.370
31,2007-12-31,73,"2,667.650",6.920
