序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,5,17.820,0.010
2,2018-06-30,6,80.820,0.020
3,2017-12-31,5,20.850,0.000
4,2017-06-30,6,"5,887.470",0.990
5,2017-03-31,5,"11,894.080",1.970
6,2016-12-31,25,"10,169.240",1.860
7,2016-09-30,2,"8,551.340",1.420
8,2016-06-30,20,"21,832.660",3.520
9,2016-03-31,1,"13,725.160",3.230
10,2015-12-31,9,"19,302.140",3.780
11,2015-09-30,2,"13,250.020",3.490
12,2015-06-30,15,"17,779.930",3.540
13,2015-03-31,3,"11,204.230",1.770
14,2014-12-31,11,"6,189.390",1.380
15,2014-06-30,7,435.110,0.090
16,2013-12-31,8,137.110,0.040
17,2013-06-30,21,882.210,0.300
18,2013-03-31,2,"1,876.030",0.610
19,2012-12-31,23,"3,311.330",1.180
20,2012-09-30,1,"1,186.940",0.380
21,2012-06-30,16,"2,533.330",0.630
22,2011-12-31,7,"3,484.950",0.790
23,2011-09-30,3,"5,300.840",1.210
24,2011-06-30,7,"14,213.920",2.330
25,2011-03-31,4,"12,948.850",1.740
26,2010-12-31,7,"5,296.820",2.990
27,2010-09-30,2,"2,035.440",1.240
28,2010-06-30,4,"2,449.130",1.830
29,2010-03-31,3,"3,120.230",1.740
30,2009-12-31,5,"9,018.100",5.140
31,2009-09-30,4,"7,759.870",4.850
32,2009-06-30,5,"2,045.810",1.010
33,2009-03-31,4,"7,473.220",5.870
34,2008-12-31,10,"7,627.150",9.650
35,2008-06-30,34,"14,803.530",12.510
36,2008-03-31,7,"2,071.300",2.140
