序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,3,"4,622.740",0.510
2,2017-12-31,60,"11,221.970",1.200
3,2017-09-30,3,"8,547.350",0.800
4,2017-06-30,63,"11,718.410",1.200
5,2017-03-31,2,291.760,0.040
6,2016-12-31,42,"4,562.110",0.640
7,2016-09-30,1,"2,622.000",0.400
8,2016-06-30,47,"4,334.360",0.710
9,2015-12-31,38,"4,729.350",0.430
10,2015-09-30,2,"4,162.970",0.670
11,2015-06-30,36,"4,625.490",0.350
12,2015-03-31,1,"4,213.840",0.470
13,2014-12-31,38,"10,287.620",1.330
14,2014-09-30,6,"4,516.390",1.080
15,2014-06-30,35,"2,544.290",0.760
16,2013-12-31,30,"6,738.440",1.890
17,2013-06-30,27,"2,736.550",1.340
18,2013-03-31,1,"1,618.360",0.480
19,2012-12-31,35,"8,181.700",2.150
20,2012-09-30,5,"14,736.920",3.970
21,2012-06-30,33,"28,280.770",6.750
22,2012-03-31,5,"13,113.350",3.230
23,2011-12-31,21,"18,447.710",4.330
24,2011-09-30,2,"2,765.800",0.530
25,2011-06-30,19,"27,832.150",4.640
26,2011-03-31,6,"19,887.730",8.280
27,2010-12-31,17,"19,720.560",10.090
28,2010-09-30,8,"26,028.230",16.190
29,2010-06-30,13,"7,393.390",6.030
30,2010-03-31,5,"19,644.910",10.270
31,2009-12-31,18,"58,206.920",29.460
32,2009-09-30,9,"50,166.450",30.230
33,2009-06-30,25,"76,243.090",42.870
34,2009-03-31,6,"19,085.000",14.760
35,2008-12-31,6,"1,886.390",2.540
36,2008-09-30,1,197.490,0.300
37,2008-06-30,81,"5,605.400",7.220
