序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,6,"4,240.240",1.200
2,2017-06-30,11,921.670,0.240
3,2016-12-31,10,"5,160.080",1.160
4,2016-09-30,1,"2,466.240",0.520
5,2016-06-30,7,"2,974.580",0.580
6,2015-12-31,2,31.050,0.010
7,2015-03-31,1,"3,248.960",0.700
8,2014-12-31,4,"3,270.800",1.020
9,2013-12-31,1,1.420,0.000
10,2013-06-30,6,79.750,0.050
11,2013-03-31,1,332.040,0.200
12,2012-12-31,5,113.940,0.070
13,2012-06-30,6,265.710,0.140
14,2011-12-31,3,138.260,0.060
15,2010-12-31,2,439.430,0.370
16,2010-09-30,2,"5,598.190",4.880
17,2010-06-30,7,"5,039.040",5.700
18,2010-03-31,1,"1,286.650",0.830
19,2009-12-31,9,"9,345.710",5.940
20,2009-09-30,1,798.210,0.690
21,2009-06-30,1,691.420,0.690
22,2009-03-31,3,"1,287.920",1.220
23,2008-12-31,10,"4,475.660",5.360
24,2008-09-30,2,423.200,0.620
