序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,2,"15,572.430",1.690
2,2017-12-31,22,"24,091.340",2.380
3,2017-09-30,2,"18,936.400",2.220
4,2017-06-30,17,"16,766.650",3.470
5,2017-03-31,1,"14,500.240",2.850
6,2016-12-31,22,"22,811.340",4.150
7,2016-09-30,3,"4,757.080",0.660
8,2016-06-30,16,"9,726.410",2.280
9,2016-03-31,9,"17,290.370",3.510
10,2015-12-31,24,"14,251.960",3.060
11,2015-09-30,2,"4,489.350",0.980
12,2015-06-30,33,"39,045.480",8.670
13,2015-03-31,5,"16,261.420",4.040
14,2014-12-31,18,"3,024.540",1.160
15,2014-06-30,22,"4,181.510",1.440
16,2013-12-31,10,964.780,0.260
17,2013-09-30,4,"17,901.900",4.000
18,2013-06-30,31,"26,446.300",8.780
19,2013-03-31,2,"4,035.070",1.330
20,2012-12-31,14,"14,466.310",5.670
21,2012-09-30,3,"18,495.380",17.330
22,2012-06-30,14,"26,390.060",23.390
23,2012-03-31,6,"27,673.080",25.910
24,2011-12-31,23,"45,357.610",44.800
25,2011-09-30,10,"39,954.920",37.720
26,2011-06-30,15,"45,414.580",41.780
27,2011-03-31,7,"43,899.090",36.340
28,2010-12-31,20,"59,841.770",41.480
29,2010-09-30,5,"13,294.910",13.130
30,2010-06-30,7,"3,563.730",4.150
31,2009-12-31,74,"4,661.360",5.710
