序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,56,"238,564.700",18.010
2,2017-12-31,267,"522,954.700",33.770
3,2017-09-30,38,"316,113.100",20.220
4,2017-06-30,141,"271,591.220",20.240
5,2017-03-31,26,"128,131.190",10.520
6,2016-12-31,104,"122,869.610",11.360
7,2016-09-30,14,"87,938.910",8.610
8,2016-06-30,77,"141,420.610",12.910
9,2016-03-31,12,"71,865.710",8.090
10,2015-12-31,62,"84,328.120",9.060
11,2015-09-30,11,"34,721.250",4.650
12,2015-06-30,52,"96,805.070",9.740
13,2015-03-31,2,"9,705.170",1.490
14,2014-12-31,34,"22,146.190",4.470
15,2014-09-30,1,"8,375.620",1.390
16,2014-06-30,24,"7,349.640",1.610
17,2013-12-31,18,"2,000.610",0.420
18,2013-06-30,17,"1,951.290",0.720
19,2013-03-31,2,"2,347.550",1.730
20,2012-12-31,24,"7,266.600",5.800
21,2012-09-30,5,"16,177.340",11.460
22,2012-06-30,28,"17,224.710",11.020
23,2012-03-31,4,"6,589.670",5.620
24,2011-12-31,10,"3,422.570",2.630
25,2011-09-30,1,"2,279.140",1.180
26,2011-06-30,10,"8,018.310",3.510
27,2011-03-31,5,"49,678.870",22.710
28,2010-12-31,25,"97,362.530",32.590
29,2010-09-30,7,"58,413.810",25.730
30,2010-06-30,104,"116,490.160",63.120
31,2010-03-31,4,324.090,
