序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,2,"12,128.230",1.280
2,2017-12-31,77,"25,827.740",2.350
3,2017-09-30,5,"21,457.930",1.520
4,2017-06-30,76,"28,415.050",2.400
5,2017-03-31,7,"19,621.630",1.270
6,2016-12-31,71,"29,835.740",2.080
7,2016-09-30,9,"28,056.850",1.900
8,2016-06-30,43,"51,040.910",2.800
9,2016-03-31,24,"84,665.480",6.240
10,2015-12-31,61,"116,945.030",8.790
11,2015-09-30,24,"67,830.760",9.930
12,2015-06-30,57,"63,147.000",11.850
13,2015-03-31,3,"20,291.630",4.200
14,2014-12-31,17,"7,839.270",2.490
15,2014-09-30,10,"46,151.780",11.220
16,2014-06-30,9,"5,287.480",2.000
17,2013-12-31,5,"1,447.940",0.570
18,2013-06-30,8,253.010,0.130
19,2012-12-31,15,"7,067.360",3.110
20,2012-09-30,1,"2,288.600",0.860
21,2012-06-30,11,"2,490.720",0.770
22,2011-12-31,6,"4,848.300",1.730
23,2011-09-30,2,"23,561.000",5.270
24,2011-06-30,5,"45,919.870",9.030
25,2011-03-31,5,"41,503.330",20.230
26,2010-12-31,16,"63,202.520",30.210
27,2010-09-30,6,"34,397.690",22.160
28,2010-06-30,85,"15,507.560",17.240
