序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,3,"17,308.180",0.810
2,2017-09-30,2,"22,060.530",1.070
3,2017-06-30,63,"45,352.320",2.440
4,2017-03-31,3,"23,676.220",1.450
5,2016-12-31,47,"24,575.430",1.330
6,2016-09-30,4,"4,316.010",0.440
7,2016-06-30,50,"7,431.980",0.830
8,2016-03-31,7,"4,160.770",0.420
9,2015-12-31,56,"10,033.570",1.010
10,2015-09-30,4,758.970,0.100
11,2015-06-30,75,"39,624.810",3.100
12,2015-03-31,5,"2,813.730",0.250
13,2014-12-31,50,"9,999.270",1.120
14,2014-09-30,3,"6,809.780",0.780
15,2014-06-30,30,"2,458.460",0.320
16,2013-12-31,38,"8,709.990",1.110
17,2013-09-30,2,613.450,0.080
18,2013-06-30,39,"28,920.340",4.600
19,2013-03-31,6,"63,171.650",20.960
20,2012-12-31,58,"56,960.230",17.680
21,2012-09-30,4,"15,327.150",5.550
22,2012-06-30,38,"25,059.640",8.020
23,2012-03-31,1,"2,660.100",0.820
24,2011-12-31,13,"5,223.620",1.790
25,2011-09-30,3,"6,017.560",1.370
26,2011-06-30,13,"20,129.850",3.950
27,2011-03-31,4,"10,493.550",2.970
28,2010-12-31,5,"3,715.920",1.420
29,2010-09-30,5,"17,183.870",7.570
30,2010-06-30,15,"1,459.490",1.140
