序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,7,"16,422.290",3.000
2,2017-12-31,19,"13,755.920",2.920
3,2017-09-30,7,"21,822.840",4.680
4,2017-06-30,35,"15,134.010",3.760
5,2017-03-31,3,"10,529.700",2.540
6,2016-12-31,52,"22,787.180",5.230
7,2016-09-30,11,"7,287.370",2.080
8,2016-06-30,79,"53,248.580",13.200
9,2016-03-31,5,"15,431.950",3.860
10,2015-12-31,35,"56,442.020",11.620
11,2015-09-30,12,"37,843.360",11.430
12,2015-06-30,34,"61,336.990",11.160
13,2015-03-31,6,"34,047.610",7.200
14,2014-12-31,33,"37,835.230",11.210
15,2014-09-30,15,"65,351.930",17.010
16,2014-06-30,40,"78,907.990",26.030
17,2014-03-31,8,"36,233.540",14.500
18,2013-12-31,2,19.960,0.010
19,2013-09-30,1,"1,557.000",0.890
20,2013-06-30,10,"2,908.950",2.850
21,2013-03-31,1,"1,203.150",1.110
22,2012-12-31,7,692.370,0.710
23,2012-09-30,1,719.150,1.120
24,2012-06-30,7,"1,924.590",2.140
25,2012-03-31,2,"3,633.890",4.350
26,2011-12-31,5,"3,631.740",4.560
27,2011-09-30,3,"10,670.680",6.570
28,2011-06-30,9,"11,243.470",8.820
29,2011-03-31,7,"17,571.500",10.240
30,2010-12-31,7,"19,532.620",10.670
31,2010-09-30,8,"24,797.100",17.690
