序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,6,"19,720.140",2.680
2,2018-12-31,67,"26,869.890",10.370
3,2018-09-30,10,"21,830.580",8.170
4,2018-06-30,70,"57,836.790",18.500
5,2018-03-31,9,"14,909.550",6.000
6,2017-12-31,19,"12,693.320",3.100
7,2017-09-30,4,"13,445.110",3.220
8,2017-06-30,53,"41,031.490",11.460
9,2017-03-31,7,"15,746.580",3.480
10,2016-12-31,73,"121,690.500",21.850
11,2016-09-30,43,"178,479.230",26.900
12,2016-06-30,137,"276,734.670",39.770
13,2016-03-31,49,"231,078.200",33.830
14,2015-12-31,79,"230,463.430",41.900
15,2015-09-30,14,"37,193.290",14.730
16,2015-06-30,40,"80,340.060",21.120
17,2015-03-31,4,"9,920.190",4.560
18,2014-12-31,27,"37,816.910",22.580
19,2014-09-30,8,"27,145.160",14.390
20,2014-06-30,17,"7,993.430",6.620
21,2013-12-31,6,853.940,0.740
22,2013-09-30,1,"2,118.300",1.610
23,2013-06-30,15,"5,390.440",9.590
24,2013-03-31,1,653.400,1.130
25,2012-12-31,8,"1,737.720",2.580
26,2012-09-30,5,"6,551.330",8.450
27,2012-06-30,20,"20,249.090",19.850
28,2012-03-31,4,"9,971.350",9.310
29,2011-12-31,11,"15,614.170",18.500
30,2011-09-30,5,"17,171.710",17.850
31,2011-06-30,8,"12,397.510",15.700
32,2011-03-31,4,"9,228.760",10.330
33,2010-12-31,8,"30,914.900",30.150
34,2010-09-30,3,"1,075.570",1.640
