序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,12,74.720,0.020
2,2018-09-30,2,"7,208.440",1.670
3,2018-06-30,28,"11,395.810",2.320
4,2018-03-31,5,"7,155.650",1.110
5,2017-12-31,34,"12,340.740",1.580
6,2017-09-30,5,"9,690.670",1.140
7,2017-06-30,35,"11,692.240",1.710
8,2017-03-31,1,918.000,0.130
9,2016-12-31,29,"12,077.960",1.830
10,2016-09-30,3,"9,432.470",1.340
11,2016-06-30,23,"16,005.100",2.530
12,2016-03-31,10,"17,963.900",2.870
13,2015-12-31,39,"27,326.630",3.600
14,2015-09-30,1,"1,415.990",0.320
15,2015-06-30,8,"11,956.870",1.440
16,2015-03-31,1,"2,660.550",0.310
17,2014-12-31,3,388.810,0.050
18,2014-09-30,2,"2,061.240",0.330
19,2014-06-30,15,574.300,0.110
20,2013-12-31,16,511.860,0.360
21,2013-09-30,1,"1,440.240",0.900
22,2013-06-30,15,"1,954.220",1.330
23,2013-03-31,2,"2,262.200",1.400
24,2012-12-31,19,"2,802.000",1.760
25,2012-09-30,2,"1,781.960",1.130
26,2012-06-30,25,"16,641.380",8.270
27,2012-03-31,6,"13,798.630",6.870
28,2011-12-31,23,"24,178.470",32.510
29,2011-09-30,10,"29,512.320",29.140
30,2011-06-30,8,"7,958.940",8.860
31,2011-03-31,5,"16,585.850",17.450
32,2010-12-31,30,"10,445.500",
