序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,1,"1,005.910",0.210
2,2017-12-31,10,"4,058.140",0.860
3,2017-09-30,1,125.000,0.020
4,2017-06-30,13,"2,065.400",0.450
5,2016-12-31,13,"2,752.540",0.450
6,2016-09-30,2,"3,396.050",0.690
7,2016-06-30,23,"14,623.830",2.900
8,2016-03-31,1,12.340,0.000
9,2015-12-31,20,"12,985.000",1.700
10,2015-09-30,4,"1,637.730",0.330
11,2015-06-30,31,"67,480.210",8.640
12,2015-03-31,8,"19,060.770",3.660
13,2014-12-31,8,"7,068.100",1.880
14,2014-09-30,14,"53,148.490",11.520
15,2014-06-30,11,"29,528.750",20.610
16,2014-03-31,5,"11,609.720",10.780
17,2013-12-31,3,20.460,0.020
18,2013-09-30,3,"10,777.980",9.760
19,2013-06-30,12,"24,835.670",23.850
20,2013-03-31,3,"12,718.080",14.370
21,2012-12-31,9,"4,690.980",5.630
22,2012-09-30,3,"3,953.220",4.800
23,2012-06-30,10,"6,734.670",7.630
24,2012-03-31,2,"4,201.660",4.430
25,2011-12-31,7,"5,374.160",4.910
26,2011-09-30,5,"11,446.050",9.770
27,2011-06-30,3,"1,014.290",0.750
28,2011-03-31,1,"5,029.950",3.630
29,2010-12-31,32,"78,090.200",39.090
30,2010-09-30,13,"55,171.280",31.180
31,2010-06-30,49,"23,309.070",22.200
