序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,13,"7,150.860",0.490
2,2017-12-31,130,"80,996.820",6.290
3,2017-09-30,5,"2,003.950",0.150
4,2017-06-30,167,"92,769.840",6.970
5,2017-03-31,3,"3,274.980",0.260
6,2016-12-31,130,"54,903.510",4.190
7,2016-09-30,11,"29,125.160",1.850
8,2016-06-30,215,"211,073.000",11.760
9,2016-03-31,20,"89,344.660",4.800
10,2015-12-31,187,"269,933.680",12.940
11,2015-09-30,28,"110,463.470",6.630
12,2015-06-30,141,"272,516.820",14.790
13,2015-03-31,20,"220,167.770",12.460
14,2014-12-31,123,"197,034.480",18.260
15,2014-09-30,48,"327,352.760",24.180
16,2014-06-30,147,"490,099.450",35.850
17,2014-03-31,20,"126,308.380",12.550
18,2013-12-31,133,"486,665.740",36.010
19,2013-09-30,55,"413,711.620",45.880
20,2013-06-30,111,"369,992.180",69.060
21,2013-03-31,9,"83,492.540",27.340
22,2012-12-31,65,"125,268.060",51.480
23,2012-09-30,12,"51,770.800",23.270
24,2012-06-30,31,"41,492.470",32.180
25,2012-03-31,7,"20,894.670",16.080
26,2011-12-31,30,"41,813.390",24.780
27,2011-09-30,7,"22,633.800",17.780
28,2011-06-30,17,"21,919.360",20.010
29,2011-03-31,8,"8,714.070",6.680
30,2010-12-31,47,"25,109.720",19.160
