序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-06-30,2,14.610,0.010
2,2018-03-31,1,155.980,0.090
3,2017-12-31,4,31.950,0.020
4,2017-06-30,17,"3,568.360",1.550
5,2017-03-31,3,"7,934.830",2.840
6,2016-12-31,37,"16,594.120",5.660
7,2016-09-30,3,"2,462.910",0.700
8,2016-06-30,19,"14,864.860",3.050
9,2016-03-31,6,"16,220.870",2.730
10,2015-12-31,37,"54,450.850",9.530
11,2015-09-30,1,"4,024.430",1.310
12,2015-06-30,24,"38,772.120",6.960
13,2015-03-31,2,"8,958.340",1.790
14,2014-12-31,58,"134,839.160",29.050
15,2014-09-30,10,"27,951.900",12.050
16,2014-06-30,3,"3,823.500",2.800
17,2012-12-31,1,4.380,0.010
18,2012-06-30,1,22.550,0.050
19,2012-03-31,1,287.530,0.600
20,2011-06-30,1,699.890,1.650
21,2011-03-31,6,"9,584.800",19.480
