序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,1,6.250,0.000
2,2017-12-31,5,15.900,0.010
3,2017-09-30,1,7.250,0.000
4,2017-06-30,4,660.180,0.200
5,2017-03-31,1,9.990,0.000
6,2016-12-31,8,109.260,0.030
7,2016-06-30,10,565.160,0.130
8,2016-03-31,1,"1,653.190",0.430
9,2015-12-31,12,"8,205.350",1.660
10,2015-09-30,1,"3,568.060",0.930
11,2015-06-30,2,"4,721.910",0.860
12,2015-03-31,2,"5,785.590",2.510
13,2014-12-31,2,"3,859.190",2.510
14,2013-12-31,1,48.880,0.070
15,2012-12-31,1,12.290,0.030
16,2012-06-30,1,65.610,0.200
17,2012-03-31,1,484.610,1.570
18,2011-12-31,1,543.780,1.960
