序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,7,"17,776.360",4.640
2,2017-09-30,6,"18,678.570",5.320
3,2017-06-30,14,"24,008.070",5.920
4,2017-03-31,7,"43,542.200",13.500
5,2016-12-31,21,"65,930.260",18.200
6,2016-09-30,9,"73,563.100",18.960
7,2016-06-30,27,"66,937.290",17.020
8,2016-03-31,10,"53,348.370",28.790
9,2015-12-31,55,"119,978.220",42.130
10,2015-09-30,4,"23,068.980",12.600
11,2015-06-30,16,"36,501.990",14.630
12,2015-03-31,9,"32,647.690",13.290
13,2014-12-31,14,"11,503.640",9.280
14,2014-09-30,2,"3,011.530",2.560
15,2014-03-31,1,"1,534.940",1.810
