序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,2,"1,883.970",0.700
2,2018-09-30,1,"3,237.170",1.360
3,2018-06-30,5,"5,285.400",1.430
4,2018-03-31,1,"5,249.060",1.480
5,2017-12-31,15,"8,251.890",2.350
6,2017-09-30,5,"14,110.720",3.320
7,2017-06-30,25,"17,106.780",4.740
8,2017-03-31,6,"11,005.250",2.570
9,2016-12-31,33,"48,768.570",9.700
10,2016-09-30,15,"54,232.010",11.140
11,2016-06-30,40,"87,087.350",13.560
12,2016-03-31,10,"48,802.560",8.290
13,2015-12-31,15,"23,432.160",4.140
14,2015-06-30,7,"3,781.630",0.980
15,2015-03-31,1,882.570,0.400
16,2014-12-31,2,880.740,0.770
17,2014-09-30,1,"1,384.050",2.170
18,2014-06-30,3,"1,833.270",3.340
19,2014-03-31,1,"1,454.280",2.910
20,2013-12-31,1,104.570,0.250
21,2013-06-30,1,122.970,0.330
22,2012-06-30,1,20.680,0.090
