序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-06-30,14,"1,067.930",0.360
2,2017-03-31,2,"3,055.000",0.860
3,2016-12-31,17,"6,588.460",1.640
4,2016-09-30,2,"2,975.470",0.700
5,2016-06-30,14,"5,940.490",1.300
6,2016-03-31,4,"5,140.610",1.500
7,2015-12-31,13,"4,558.110",1.050
8,2015-09-30,5,"10,010.980",2.830
9,2015-06-30,38,"106,877.150",20.550
10,2015-03-31,6,"28,160.460",20.370
11,2014-12-31,8,"23,291.760",23.930
12,2014-09-30,5,"15,392.500",14.520
13,2014-06-30,1,"1,119.790",1.270
14,2014-03-31,1,827.410,0.940
15,2013-12-31,4,"1,082.830",1.160
16,2013-09-30,5,"7,124.850",5.720
17,2013-06-30,7,507.530,0.790
18,2013-03-31,3,"7,036.400",11.110
19,2012-12-31,11,"6,197.400",10.580
20,2012-09-30,4,"6,498.760",11.550
21,2012-06-30,10,"12,731.460",24.480
