序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-06-30,42,"8,467.890",2.200
2,2017-12-31,47,"8,597.470",1.700
3,2017-09-30,10,"7,913.930",1.290
4,2017-06-30,44,"16,077.450",4.190
5,2017-03-31,5,"35,537.670",8.000
6,2016-12-31,34,"95,642.970",21.850
7,2016-09-30,9,"69,546.270",11.750
8,2016-06-30,27,"74,661.790",24.370
9,2016-03-31,3,"17,240.370",7.980
10,2015-12-31,11,"10,887.000",4.740
11,2015-09-30,3,"8,226.650",3.190
12,2015-06-30,9,"16,658.000",4.470
13,2014-12-31,9,"4,500.440",2.940
14,2014-09-30,1,"3,644.360",2.640
