序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,1,983.250,0.310
2,2018-09-30,8,"21,975.590",5.640
3,2018-06-30,78,"51,576.680",9.540
4,2018-03-31,26,"45,174.180",6.600
5,2017-12-31,42,"56,940.820",9.540
6,2017-09-30,13,"74,899.390",12.730
7,2017-06-30,43,"63,402.580",15.380
8,2017-03-31,4,"19,448.190",5.040
9,2016-12-31,51,"56,656.740",18.090
10,2016-09-30,15,"72,081.450",18.900
11,2016-06-30,57,"136,452.100",32.240
12,2016-03-31,9,"34,613.850",11.810
13,2015-12-31,14,"20,464.040",8.010
14,2015-09-30,1,"2,746.680",2.750
15,2015-06-30,10,"27,444.680",19.250
16,2015-03-31,2,"4,765.810",5.030
17,2014-12-31,5,"3,471.980",4.480
