序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,2,883.140,0.300
2,2018-09-30,3,"4,798.540",1.220
3,2018-06-30,9,400.420,0.120
4,2018-03-31,2,729.010,0.280
5,2017-12-31,18,"6,391.960",1.980
6,2017-09-30,6,"37,077.980",11.890
7,2017-06-30,44,"87,716.020",32.550
8,2017-03-31,13,"83,592.800",25.660
9,2016-12-31,56,"170,861.580",47.260
10,2016-09-30,27,"175,901.510",36.860
11,2016-06-30,45,"181,461.880",38.160
12,2016-03-31,10,"74,806.180",39.360
13,2015-12-31,20,"90,912.740",39.740
14,2015-09-30,11,"60,340.610",33.070
15,2015-06-30,32,"34,146.280",14.210
