序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,15,"50,209.140",11.450
2,2018-09-30,8,"47,234.110",10.730
3,2018-06-30,23,"39,441.430",9.340
4,2018-03-31,3,"38,343.400",10.090
5,2017-12-31,21,"51,401.250",13.720
6,2017-09-30,6,"77,343.650",15.630
7,2017-06-30,27,"25,629.880",6.690
8,2017-03-31,2,"10,253.580",2.730
9,2016-12-31,16,"17,464.750",5.260
10,2016-09-30,2,"17,808.150",5.410
11,2016-06-30,34,"32,645.180",7.940
12,2016-03-31,6,"14,347.540",7.530
13,2015-12-31,15,"3,092.900",1.590
14,2015-09-30,13,"23,005.680",16.220
15,2015-06-30,27,"24,031.780",13.690
