序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,2,"1,524.310",0.020
2,2018-12-31,186,"77,295.800",1.200
3,2018-09-30,5,795.120,0.010
4,2018-06-30,165,"54,457.020",0.860
5,2018-03-31,3,"19,460.900",0.260
6,2017-12-31,161,"61,899.950",0.850
7,2017-09-30,3,"7,973.620",0.110
8,2017-06-30,183,"78,216.220",1.050
9,2017-03-31,13,"25,987.670",0.340
10,2016-12-31,98,"62,548.030",0.850
11,2016-09-30,5,"28,746.860",1.840
12,2016-06-30,97,"51,170.360",3.360
13,2016-03-31,5,"21,093.510",1.270
14,2015-12-31,97,"63,547.690",2.840
15,2015-09-30,10,"14,061.220",0.760
16,2015-06-30,103,"95,335.670",3.760
17,2015-03-31,1,"2,576.050",0.450
18,2014-12-31,78,"20,111.580",3.550
19,2014-09-30,6,"7,923.370",1.770
20,2014-06-30,50,"9,872.210",2.760
