序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,6,"3,089.060",0.780
2,2017-09-30,2,"2,870.690",0.610
3,2017-06-30,9,"6,392.770",1.190
4,2017-03-31,2,"2,257.280",0.460
5,2016-12-31,6,"3,179.940",0.560
6,2016-09-30,5,"15,896.380",2.250
7,2016-06-30,14,"26,291.960",3.730
8,2016-03-31,2,"3,629.010",0.630
9,2015-12-31,6,"14,476.820",2.360
10,2015-09-30,1,"1,180.780",0.310
11,2015-06-30,4,"5,199.200",0.910
12,2015-03-31,2,"11,440.000",2.320
13,2014-12-31,2,"7,671.400",2.540
14,2014-09-30,3,"18,682.940",4.880
15,2014-06-30,6,"13,297.490",4.520
16,2013-12-31,1,99.210,0.070
17,2013-06-30,3,536.420,0.430
18,2013-03-31,1,789.170,0.420
19,2012-12-31,3,613.420,0.420
20,2012-09-30,1,"1,142.120",0.840
21,2012-06-30,3,942.770,0.610
22,2012-03-31,1,658.970,0.420
23,2011-12-31,3,"1,698.440",1.010
24,2011-09-30,1,"1,015.050",0.420
25,2011-06-30,3,"3,925.730",1.530
26,2011-03-31,8,"37,801.410",12.630
27,2010-12-31,13,"34,392.260",11.760
28,2010-09-30,3,"8,046.320",3.290
29,2010-06-30,7,"19,129.950",9.480
30,2010-03-31,6,"18,022.380",11.040
31,2009-12-31,5,"3,681.150",2.910
32,2008-12-31,4,"2,348.000",4.960
33,2008-09-30,3,"4,336.820",7.980
34,2008-06-30,3,"5,156.620",7.470
35,2008-03-31,4,"14,434.370",12.630
36,2007-12-31,9,"17,668.490",12.500
37,2007-09-30,5,"13,318.700",8.030
38,2007-06-30,11,"18,547.490",12.300
39,2007-03-31,2,"10,599.660",8.670
40,2006-12-31,4,"7,425.900",9.950
41,2006-09-30,9,"24,484.320",31.170
42,2006-06-30,2,"2,749.520",5.260
43,2006-03-31,3,"3,086.040",8.280
44,2005-12-31,2,"1,613.000",4.750
45,2005-06-30,4,"2,104.730",5.720
46,2005-03-31,6,"5,052.660",10.990
47,2004-12-31,6,"4,270.140",7.760
48,2004-09-30,9,"6,397.920",10.560
49,2004-06-30,12,"13,138.100",19.740
50,2002-12-31,1,449.040,0.700
51,2002-06-30,1,66.360,0.070
52,2001-09-30,3,"14,422.620",8.530
53,2001-06-30,2,"15,532.140",7.400
54,2000-12-31,2,"11,067.500",9.470
55,2000-06-30,2,"6,655.030",9.340
