序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-09-30,2,"7,584.760",1.230
2,2017-06-30,36,"18,305.790",2.780
3,2017-03-31,4,"12,012.650",3.030
4,2016-12-31,33,"18,648.980",4.310
5,2016-09-30,3,"20,554.370",4.430
6,2016-06-30,14,"27,867.340",6.080
7,2016-03-31,5,"35,890.850",7.250
8,2015-12-31,14,"60,358.850",8.350
9,2015-09-30,5,"35,081.100",9.120
10,2015-06-30,19,"73,435.190",10.570
11,2015-03-31,1,894.570,0.300
12,2014-12-31,3,"1,501.640",0.500
13,2014-09-30,1,894.570,0.300
14,2014-06-30,2,308.570,0.130
15,2014-03-31,1,513.930,0.200
16,2013-12-31,1,153.980,0.060
17,2013-09-30,1,787.600,0.300
18,2013-06-30,3,23.540,0.010
19,2012-12-31,2,12.520,0.000
20,2012-06-30,2,20.650,0.010
21,2011-12-31,1,12.610,0.000
22,2011-06-30,1,23.060,0.000
23,2011-03-31,2,"1,923.360",0.360
24,2010-12-31,1,217.600,0.050
25,2010-09-30,3,"7,117.340",2.120
26,2010-06-30,6,"7,434.030",2.700
27,2010-03-31,2,"17,993.110",5.040
28,2009-12-31,6,"32,304.940",9.550
29,2009-09-30,1,"8,859.250",3.360
30,2009-06-30,5,"33,128.500",9.640
31,2007-03-31,1,"2,676.040",1.380
32,2000-06-30,2,"2,799.440",2.040
