序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,6,112.940,0.050
2,2018-06-30,6,80.920,0.030
3,2017-12-31,7,828.000,0.250
4,2017-09-30,1,"2,086.360",0.500
5,2017-06-30,6,761.060,0.170
6,2016-12-31,9,448.350,0.060
7,2016-06-30,6,"2,777.860",0.720
8,2016-03-31,1,"2,447.610",0.640
9,2015-12-31,7,"5,786.950",1.230
10,2015-09-30,1,"1,728.560",0.640
11,2015-06-30,9,"3,803.640",0.660
12,2014-12-31,2,33.130,0.010
13,2014-06-30,3,24.020,0.010
14,2013-12-31,7,706.740,0.250
15,2013-09-30,1,788.910,0.220
16,2013-06-30,6,527.550,0.200
17,2012-12-31,6,482.350,0.150
18,2012-06-30,5,219.390,0.060
19,2012-03-31,1,714.890,0.340
20,2011-12-31,1,16.030,0.010
21,2011-06-30,2,970.930,0.380
22,2010-06-30,1,"1,240.920",0.950
23,2010-03-31,2,"3,699.230",2.040
24,2009-12-31,1,"3,219.960",2.370
25,2009-06-30,1,154.370,0.130
26,2009-03-31,2,"2,818.170",2.930
27,2006-12-31,1,15.320,0.050
28,2006-06-30,1,27.010,0.100
29,2005-12-31,1,18.260,0.100
30,2005-06-30,1,17.260,0.100
31,2004-12-31,1,21.460,0.100
32,2004-06-30,1,25.890,0.100
33,2002-12-31,2,167.080,0.430
34,2002-06-30,5,"1,079.080",2.090
35,2001-12-31,1,996.650,1.850
36,2001-06-30,1,"1,286.690",1.850
37,2000-12-31,1,"1,641.890",2.500
38,2000-06-30,2,"1,745.620",3.060
