序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,16,"34,476.170",5.170
2,2017-09-30,23,"80,896.010",11.790
3,2017-06-30,84,"143,813.260",21.480
4,2017-03-31,24,"105,880.480",15.370
5,2016-12-31,55,"88,492.380",13.490
6,2016-09-30,10,"53,147.320",8.750
7,2016-06-30,58,"87,724.210",13.890
8,2016-03-31,8,"14,336.710",2.440
9,2015-12-31,35,"41,899.260",10.830
10,2015-09-30,6,"19,301.100",6.590
11,2015-06-30,21,"37,478.260",8.710
12,2015-03-31,5,"38,039.030",8.640
13,2014-12-31,26,"45,003.870",20.340
14,2014-09-30,5,"25,299.670",10.470
15,2014-06-30,15,"18,820.070",9.920
16,2014-03-31,3,"15,710.970",9.660
17,2013-12-31,20,"22,531.650",14.050
18,2013-09-30,1,"4,774.540",3.190
19,2013-06-30,12,"2,646.420",2.620
20,2012-12-31,3,18.580,0.020
21,2012-06-30,2,29.160,0.030
22,2011-12-31,1,19.490,0.020
23,2011-06-30,2,144.060,0.090
24,2010-06-30,2,"1,178.170",1.300
25,2010-03-31,2,"5,555.290",5.470
26,2008-12-31,1,64.500,0.140
27,2008-09-30,1,591.690,1.120
28,2008-06-30,2,"3,951.960",6.900
29,2008-03-31,2,"7,396.240",7.030
30,2007-12-31,2,"1,186.490",1.210
31,2007-06-30,1,316.500,0.460
32,2007-03-31,1,"5,327.170",6.410
33,2006-12-31,3,"5,662.690",12.470
34,2006-09-30,1,"1,409.330",3.210
35,2006-06-30,2,177.560,0.340
36,2006-03-31,7,"6,809.030",14.280
37,2005-12-31,13,"11,989.110",28.700
38,2005-09-30,5,"7,126.760",17.680
39,2005-06-30,3,904.170,2.900
40,2004-12-31,4,"4,516.290",10.100
41,2004-09-30,2,"2,182.480",4.910
42,2004-06-30,6,244.060,0.510
