序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,2,16.720,0.010
2,2018-06-30,4,76.430,0.020
3,2017-12-31,2,59.700,0.010
4,2017-06-30,2,14.660,0.000
5,2017-03-31,1,133.730,0.020
6,2016-12-31,5,"9,194.350",1.600
7,2016-09-30,1,"4,878.850",1.270
8,2016-06-30,7,"3,239.400",0.990
9,2015-12-31,9,"11,254.440",2.170
10,2015-09-30,1,"3,438.860",0.910
11,2015-06-30,8,"8,832.860",1.750
12,2015-03-31,2,"4,768.320",1.150
13,2014-12-31,3,"1,271.280",0.490
14,2014-09-30,1,"1,059.420",0.420
15,2014-06-30,1,379.000,0.220
16,2013-12-31,1,401.000,0.220
17,2013-06-30,2,542.580,0.290
18,2013-03-31,1,625.940,0.280
19,2012-12-31,1,616.740,0.280
20,2012-09-30,1,838.840,0.420
21,2012-06-30,1,"2,574.010",1.240
22,2012-03-31,2,"4,232.030",2.160
23,2011-12-31,3,"4,629.860",2.330
24,2011-09-30,2,"5,784.750",2.310
25,2011-06-30,2,"6,634.190",2.310
26,2011-03-31,2,"8,331.140",2.390
27,2010-12-31,2,"4,964.920",1.630
28,2009-12-31,1,274.050,0.090
29,2007-12-31,1,"1,052.120",0.360
30,2007-09-30,2,"21,597.980",6.260
31,2007-06-30,3,"8,051.200",3.620
32,2007-03-31,3,"6,256.310",2.680
33,2006-12-31,5,"3,712.900",2.580
34,2006-06-30,5,798.780,0.660
35,2005-12-31,3,280.110,0.360
36,2005-09-30,2,246.940,0.300
37,2005-06-30,2,247.610,0.320
38,2005-03-31,1,178.250,0.220
39,2004-12-31,3,318.510,0.360
40,2004-09-30,3,556.920,0.490
41,2004-06-30,4,690.620,0.520
42,2003-12-31,2,335.200,0.230
43,2002-12-31,7,"4,999.200",3.390
44,2002-09-30,1,"3,451.580",1.900
45,2002-06-30,10,"6,095.560",5.230
46,2002-03-31,1,"2,758.690",2.290
47,2001-12-31,5,"5,509.570",4.320
48,2001-09-30,2,"3,465.920",2.480
49,2001-06-30,4,"6,545.460",3.820
50,2000-12-31,3,"2,473.740",1.520
