序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-06-30,8,598.670,0.180
2,2016-12-31,7,"1,167.840",0.270
3,2016-06-30,11,"3,755.840",0.910
4,2016-03-31,1,"2,740.530",0.630
5,2015-12-31,10,"3,904.860",0.840
6,2015-09-30,1,"2,123.760",0.650
7,2015-06-30,8,"9,625.190",1.620
8,2015-03-31,7,"45,723.350",8.850
9,2014-12-31,17,"12,831.970",3.620
10,2014-09-30,5,"14,921.860",3.760
11,2014-06-30,2,267.660,0.100
12,2013-06-30,1,1.890,0.000
13,2013-03-31,1,194.890,0.090
14,2012-06-30,3,137.280,0.070
15,2011-12-31,2,152.120,0.080
16,2009-12-31,1,753.460,0.240
17,2006-12-31,1,25.850,0.060
18,2006-06-30,1,57.100,0.140
19,2005-12-31,1,39.890,0.140
20,2005-06-30,1,39.030,0.140
21,2004-12-31,1,60.100,0.140
22,2004-06-30,1,64.440,0.140
23,2002-06-30,1,52.810,0.090
24,2000-12-31,1,523.760,0.760
25,2000-06-30,1,260.690,0.390
