序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-06-30,16,"1,529.660",0.250
2,2017-03-31,3,"31,879.200",5.160
3,2016-12-31,13,"40,772.750",5.800
4,2016-09-30,4,"40,516.300",5.670
5,2016-06-30,18,"46,912.120",7.560
6,2016-03-31,4,"43,813.470",6.340
7,2015-12-31,15,"75,950.230",8.210
8,2015-09-30,4,"31,141.950",5.920
9,2015-06-30,15,"45,059.140",5.280
10,2015-03-31,6,"54,229.520",7.570
11,2014-12-31,16,"47,096.870",8.000
12,2014-09-30,1,6.800,0.000
13,2014-06-30,11,"4,236.830",1.140
14,2014-03-31,1,770.000,0.160
15,2013-12-31,13,"1,122.600",0.320
16,2013-06-30,26,"3,077.430",0.810
17,2012-12-31,27,"6,905.010",1.490
18,2012-09-30,1,765.130,0.190
19,2012-06-30,20,"10,531.010",2.350
20,2012-03-31,3,"5,024.730",1.150
21,2011-12-31,19,"11,457.940",2.940
22,2011-09-30,4,"6,263.940",1.370
23,2011-06-30,29,"18,207.450",2.990
24,2011-03-31,3,"12,625.700",1.730
25,2010-12-31,31,"22,147.800",3.140
26,2010-09-30,5,"21,035.610",2.900
27,2010-06-30,29,"16,534.410",2.610
28,2010-03-31,5,"13,217.330",1.380
29,2009-12-31,18,"22,680.280",2.230
30,2009-09-30,4,"25,092.750",3.810
31,2009-06-30,5,"19,701.680",3.760
32,2008-12-31,14,"42,513.740",20.260
33,2008-09-30,5,"32,069.640",16.810
34,2008-06-30,9,"53,858.780",31.640
35,2008-03-31,2,"8,945.210",2.950
36,2007-12-31,10,"110,202.890",32.480
37,2007-09-30,5,"46,880.530",11.540
38,2007-06-30,9,"38,698.510",18.360
39,2007-03-31,2,"4,115.090",2.400
40,2006-12-31,3,889.210,0.800
41,2006-06-30,1,53.720,0.100
42,2005-12-31,1,24.120,0.100
43,2005-06-30,1,20.310,0.100
44,2004-12-31,1,29.400,0.100
45,2004-06-30,1,25.290,0.100
46,2002-06-30,2,"1,325.940",2.020
47,2001-06-30,1,19.470,0.030
