序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,7,402.460,0.100
2,2018-06-30,14,578.390,0.110
3,2018-03-31,1,914.990,0.110
4,2017-12-31,17,"1,325.670",0.130
5,2017-06-30,14,"7,429.530",1.320
6,2016-12-31,12,"4,764.720",0.730
7,2016-06-30,12,"3,755.740",0.670
8,2015-12-31,7,"2,853.770",0.370
9,2015-09-30,1,"3,039.730",0.510
10,2015-06-30,8,"26,930.470",2.440
11,2015-03-31,1,"2,232.890",0.280
12,2014-12-31,3,"3,157.220",0.500
13,2014-09-30,3,"8,203.290",1.390
14,2014-06-30,8,"5,253.230",0.940
15,2014-03-31,1,"1,338.210",0.280
16,2013-12-31,6,"3,809.600",0.910
17,2013-09-30,2,86.750,0.020
18,2013-06-30,22,"1,344.760",0.320
19,2013-03-31,3,"6,038.740",1.050
20,2012-12-31,51,"25,479.690",3.690
21,2012-09-30,5,"10,890.690",1.570
22,2012-06-30,47,"34,505.440",4.160
23,2012-03-31,5,"28,814.590",3.340
24,2011-12-31,49,"58,179.540",6.780
25,2011-09-30,9,"82,516.060",6.520
26,2011-06-30,63,"163,238.350",11.880
27,2011-03-31,6,"87,221.200",5.020
28,2010-12-31,41,"122,737.510",7.670
29,2010-09-30,8,"109,632.910",8.970
30,2010-06-30,33,"91,965.570",14.640
31,2010-03-31,6,"113,533.170",12.530
32,2009-12-31,51,"295,624.700",26.890
33,2009-09-30,11,"214,608.540",21.900
34,2009-06-30,48,"342,696.760",35.470
35,2009-03-31,11,"167,259.090",19.760
36,2008-12-31,23,"20,481.130",7.210
37,2008-09-30,5,"11,996.520",2.980
38,2008-06-30,14,"17,861.150",2.770
39,2008-03-31,17,"610,461.600",27.310
40,2007-12-31,68,"1,094,162.910",48.960
41,2007-09-30,14,"600,673.630",29.910
42,2007-06-30,63,"502,541.130",41.440
43,2007-03-31,7,"60,084.840",9.660
44,2006-12-31,21,"30,120.240",7.760
45,2006-09-30,8,"33,937.690",12.100
46,2006-06-30,35,"97,926.850",27.780
47,2006-03-31,15,"31,132.600",14.290
48,2005-12-31,27,"27,422.210",20.280
49,2005-09-30,5,"12,115.110",10.570
50,2005-06-30,5,"8,178.530",8.510
51,2005-03-31,5,"8,984.760",11.210
52,2004-12-31,5,"11,574.420",16.350
53,2004-09-30,4,"8,027.360",12.570
54,2004-06-30,3,"3,435.560",7.720
55,2004-03-31,1,"4,068.270",6.210
56,2003-12-31,2,912.510,1.930
57,2002-12-31,5,"1,407.310",2.770
58,2002-06-30,8,"2,627.060",3.690
59,2001-12-31,4,"1,484.340",2.030
