序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,67,"15,461.780",2.400
2,2018-09-30,1,"2,241.030",0.280
3,2018-06-30,65,"20,269.590",2.120
4,2018-03-31,3,"3,141.270",0.240
5,2017-12-31,78,"19,406.550",1.690
6,2017-09-30,11,"15,190.320",1.530
7,2017-06-30,46,"12,539.220",1.590
8,2017-03-31,1,"6,244.890",0.710
9,2016-12-31,47,"14,808.550",1.530
10,2016-09-30,4,"15,421.330",1.430
11,2016-06-30,57,"33,584.920",3.350
12,2016-03-31,6,"10,953.180",1.040
13,2015-12-31,78,"100,563.690",5.950
14,2015-09-30,10,"18,597.790",1.510
15,2015-06-30,69,"118,538.880",4.780
16,2015-03-31,8,"23,585.890",1.310
17,2014-12-31,35,"7,205.470",0.550
18,2014-09-30,3,"1,301.130",0.120
19,2014-06-30,39,"60,005.040",7.920
20,2013-12-31,25,"3,239.820",0.750
21,2013-09-30,2,"4,657.900",0.900
22,2013-06-30,24,"6,738.630",1.740
23,2012-12-31,24,"4,182.880",1.030
24,2012-06-30,20,"3,572.100",0.740
25,2011-12-31,15,"10,817.980",2.190
26,2011-09-30,2,"14,927.490",2.310
27,2011-06-30,21,"39,632.620",5.500
28,2011-03-31,2,"10,045.380",1.350
29,2010-12-31,22,"28,191.240",3.280
30,2010-09-30,1,"9,497.360",1.300
31,2010-06-30,42,"105,164.830",17.710
32,2010-03-31,5,"42,280.610",5.830
33,2009-12-31,37,"123,163.730",17.460
34,2009-09-30,1,"11,967.770",2.650
35,2009-06-30,13,"45,322.290",8.790
36,2009-03-31,3,"19,702.130",6.340
37,2008-12-31,33,"63,705.820",25.310
38,2008-09-30,2,"16,967.210",7.910
39,2008-06-30,12,"30,512.720",14.790
40,2008-03-31,3,"14,654.450",7.930
41,2007-12-31,9,"38,461.310",14.250
42,2007-09-30,4,"28,011.930",11.170
43,2007-06-30,6,"23,100.090",10.910
44,2007-03-31,5,"26,473.450",12.870
45,2006-12-31,23,"50,460.120",33.820
46,2006-09-30,9,"41,643.080",28.870
47,2006-06-30,13,"24,618.930",22.110
48,2006-03-31,7,"23,770.950",29.880
49,2005-12-31,17,"32,963.260",42.730
50,2005-09-30,9,"23,930.050",39.030
51,2005-06-30,6,"12,448.370",26.840
52,2005-03-31,3,"5,876.430",13.080
53,2004-12-31,4,"4,208.320",9.090
54,2004-09-30,4,"3,980.100",9.200
55,2004-06-30,6,"2,103.800",4.520
