序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,24,"2,808.480",0.860
2,2018-09-30,4,"6,674.920",1.870
3,2018-06-30,20,"14,499.480",3.890
4,2017-12-31,27,"7,581.120",1.980
5,2017-09-30,4,"17,820.280",4.480
6,2017-06-30,51,"34,747.830",8.110
7,2017-03-31,4,"31,048.630",6.850
8,2016-12-31,37,"45,279.060",10.020
9,2016-09-30,4,"28,290.630",5.790
10,2016-06-30,15,"26,547.330",6.200
11,2016-03-31,5,"25,172.250",5.720
12,2015-12-31,17,"15,190.540",2.840
13,2015-09-30,4,"8,307.140",2.380
14,2015-06-30,45,"64,578.820",10.850
15,2015-03-31,6,"27,811.100",6.430
16,2014-12-31,28,"42,727.800",11.100
17,2014-09-30,6,"20,531.550",5.860
18,2014-06-30,6,"5,619.020",2.090
19,2014-03-31,2,"2,775.500",1.060
20,2013-12-31,8,"5,587.800",2.010
21,2013-09-30,1,"1,138.500",0.450
22,2013-06-30,5,"5,599.580",2.570
23,2013-03-31,2,"5,878.780",2.260
24,2012-12-31,4,"3,514.960",1.450
25,2012-09-30,1,"2,377.560",1.050
26,2012-06-30,8,"5,429.730",2.150
27,2011-12-31,12,"15,152.910",8.850
28,2011-09-30,6,"12,081.500",5.890
29,2011-06-30,7,"20,732.510",9.710
30,2011-03-31,3,"15,173.490",6.900
31,2010-12-31,4,"8,816.440",3.620
32,2010-09-30,6,"11,227.610",5.680
33,2010-06-30,14,"25,266.360",12.730
34,2010-03-31,6,"19,729.630",16.550
35,2009-12-31,1,256.680,0.310
36,2009-03-31,1,"1,280.920",2.220
37,2006-12-31,1,16.920,0.050
38,2006-06-30,1,33.180,0.100
39,2005-12-31,1,27.220,0.100
40,2005-06-30,1,25.440,0.100
41,2004-12-31,1,31.390,0.100
42,2004-09-30,1,81.200,0.230
43,2004-06-30,7,291.000,0.640
