序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,3,"6,758.520",0.990
2,2017-09-30,6,"23,286.290",3.360
3,2017-06-30,22,"49,686.290",7.620
4,2017-03-31,7,"38,542.620",5.610
5,2016-12-31,30,"55,733.430",7.920
6,2016-09-30,6,"13,888.000",1.730
7,2016-06-30,19,"6,168.560",0.830
8,2016-03-31,2,"2,885.440",0.330
9,2015-12-31,10,"8,613.400",1.770
10,2015-09-30,5,"9,817.300",3.290
11,2015-06-30,20,"67,889.670",9.340
12,2015-03-31,2,"8,669.420",1.790
13,2014-12-31,6,"1,054.830",0.270
14,2014-06-30,7,"9,303.450",3.300
15,2014-03-31,2,"8,599.790",3.320
16,2013-12-31,21,896.470,0.330
17,2013-09-30,1,458.470,0.150
18,2013-06-30,22,"1,718.990",0.620
19,2013-03-31,3,"2,538.740",0.570
20,2012-12-31,25,"4,767.060",0.940
21,2012-09-30,2,"3,652.820",0.620
22,2012-06-30,16,"3,501.800",0.640
23,2012-03-31,3,"3,081.700",0.560
24,2011-12-31,12,"2,654.280",0.570
25,2011-09-30,5,"8,709.500",1.430
26,2011-06-30,10,"3,176.440",0.430
27,2011-03-31,2,"13,333.180",1.370
28,2010-12-31,8,"45,989.370",4.620
29,2010-09-30,4,"4,775.080",0.990
30,2010-06-30,4,"1,756.120",0.550
31,2010-03-31,3,"3,057.130",0.720
32,2009-12-31,3,"2,056.410",0.420
33,2009-06-30,2,"1,838.730",0.510
34,2009-03-31,1,"1,652.620",0.510
35,2008-06-30,1,"2,190.400",1.090
36,2008-03-31,1,"4,863.530",1.960
37,2007-12-31,1,"13,226.810",2.980
38,2007-09-30,2,"11,293.720",2.000
39,2007-06-30,4,923.160,0.440
40,2006-12-31,1,39.830,0.040
41,2006-09-30,1,"2,998.810",4.580
42,2006-06-30,1,65.560,0.090
43,2005-12-31,1,36.690,0.090
44,2005-09-30,4,"1,916.750",4.990
45,2005-06-30,1,33.120,0.090
46,2004-12-31,2,"1,228.770",2.350
47,2004-09-30,1,"1,174.740",1.890
48,2004-06-30,1,57.250,0.090
49,2002-12-31,14,"5,117.740",10.410
50,2002-09-30,1,"3,523.780",5.470
