序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,59,"7,939.550",1.820
2,2018-09-30,1,"4,046.050",0.710
3,2018-06-30,60,"21,497.140",3.030
4,2018-03-31,2,"8,193.830",0.920
5,2017-12-31,77,"44,725.940",5.530
6,2017-09-30,7,"47,317.880",4.580
7,2017-06-30,117,"160,594.190",13.290
8,2017-03-31,23,"88,830.290",6.360
9,2016-12-31,105,"179,031.820",13.740
10,2016-09-30,12,"133,442.030",10.230
11,2016-06-30,107,"197,394.990",15.790
12,2016-03-31,20,"141,913.510",11.160
13,2015-12-31,90,"248,496.370",14.980
14,2015-09-30,18,"123,398.110",9.940
15,2015-06-30,126,"391,641.270",17.220
16,2015-03-31,16,"94,202.590",5.470
17,2014-12-31,107,"317,286.080",26.550
18,2014-09-30,34,"351,383.960",26.160
19,2014-06-30,156,"681,861.110",46.550
20,2014-03-31,76,"504,728.370",34.440
21,2013-12-31,132,"458,069.550",39.460
22,2013-09-30,29,"352,865.770",29.510
23,2013-06-30,143,"497,966.780",45.260
24,2013-03-31,27,"300,735.050",28.590
25,2012-12-31,110,"338,219.460",47.920
26,2012-09-30,26,"203,569.240",27.560
27,2012-06-30,100,"279,711.420",40.050
28,2012-03-31,12,"91,223.580",15.420
29,2011-12-31,77,"232,241.270",39.240
30,2011-09-30,9,"86,694.350",15.050
31,2011-06-30,53,"197,827.360",30.500
32,2011-03-31,9,"98,790.430",14.810
33,2010-12-31,40,"193,264.720",27.800
34,2010-09-30,10,"107,457.570",17.040
35,2010-06-30,32,"152,719.810",36.100
36,2010-03-31,7,"91,694.120",17.780
37,2009-12-31,30,"116,136.340",27.600
38,2009-09-30,5,"35,616.650",11.800
39,2009-06-30,11,"36,241.680",13.880
40,2009-03-31,5,"25,379.760",9.950
41,2008-12-31,1,"3,437.100",1.970
42,2008-09-30,2,"3,173.900",2.540
43,2006-12-31,3,"1,443.580",2.190
44,2006-09-30,1,440.880,1.080
45,2006-06-30,12,"13,311.170",23.120
46,2006-03-31,6,"13,490.720",30.240
47,2005-12-31,14,"18,534.270",45.010
48,2005-09-30,7,"13,787.880",36.220
49,2005-06-30,12,"11,956.120",40.690
50,2005-03-31,8,"13,396.810",37.320
51,2004-12-31,23,"24,591.460",53.060
52,2004-09-30,8,"15,105.110",30.210
53,2004-06-30,21,"14,675.770",34.160
