序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-03-31,4,"1,658.130",0.100
2,2017-12-31,140,"56,109.220",3.530
3,2017-09-30,50,"78,111.100",3.900
4,2017-06-30,216,"310,648.880",13.560
5,2017-03-31,47,"155,390.890",8.090
6,2016-12-31,165,"221,398.600",12.440
7,2016-09-30,27,"76,301.340",4.310
8,2016-06-30,78,"44,648.160",3.190
9,2016-03-31,4,"22,269.510",1.560
10,2015-12-31,58,"52,131.130",2.480
11,2015-09-30,29,"83,581.790",4.270
12,2015-06-30,73,"153,527.960",6.380
13,2015-03-31,25,"111,452.930",7.250
14,2014-12-31,57,"40,801.870",3.640
15,2014-09-30,4,"6,543.860",0.690
16,2014-06-30,30,"7,764.280",1.030
17,2014-03-31,3,"2,791.780",0.340
18,2013-12-31,30,"15,774.180",1.700
19,2013-09-30,11,"7,697.860",0.730
20,2013-06-30,25,"7,785.790",1.500
21,2013-03-31,1,"5,843.740",0.910
22,2012-12-31,29,"29,678.060",4.580
23,2012-09-30,5,"19,806.590",3.120
24,2012-06-30,29,"29,139.100",4.320
25,2012-03-31,1,132.900,0.020
26,2011-12-31,14,"6,653.350",1.270
27,2011-06-30,14,"9,705.280",1.130
28,2010-12-31,20,"21,949.830",3.010
29,2010-09-30,3,"16,655.660",2.330
30,2010-06-30,24,"21,590.550",3.760
31,2010-03-31,2,"11,415.070",1.270
32,2009-12-31,22,"27,226.600",3.260
33,2009-09-30,2,"11,841.850",1.540
34,2009-06-30,18,"29,659.460",3.170
35,2009-03-31,1,"4,004.360",0.580
36,2008-12-31,7,"4,788.920",1.420
37,2008-09-30,2,"5,952.810",1.130
38,2008-06-30,5,"5,560.540",1.210
39,2008-03-31,2,"5,339.550",0.920
40,2007-12-31,5,"8,735.710",1.000
41,2007-09-30,2,"38,505.490",4.570
42,2007-06-30,5,"26,752.880",4.150
43,2006-12-31,6,474.410,0.180
44,2006-09-30,1,837.600,0.390
45,2006-06-30,7,"1,862.630",0.910
46,2005-12-31,6,"1,070.330",0.970
47,2005-09-30,1,"2,755.950",2.130
48,2005-06-30,5,"5,347.100",3.060
49,2005-03-31,2,"4,873.260",2.640
50,2004-12-31,6,"5,279.540",2.580
51,2004-06-30,2,386.280,0.200
52,2003-12-31,3,"2,906.660",0.960
53,2003-09-30,1,"7,779.350",2.770
54,2003-06-30,6,"15,898.230",4.630
55,2003-03-31,1,"7,353.810",2.250
56,2002-12-31,3,"3,904.040",1.370
57,2002-09-30,1,"4,035.360",1.140
58,2002-06-30,6,"1,461.050",0.420
59,2001-12-31,5,"3,105.580",0.980
60,2001-03-31,1,"1,557.270",0.360
61,1999-12-31,1,55.990,0.020
