序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,9,190.180,0.060
2,2018-06-30,5,71.160,0.020
3,2017-12-31,4,84.000,0.020
4,2017-06-30,16,"1,892.110",0.330
5,2016-12-31,8,305.860,0.040
6,2016-06-30,11,285.950,0.040
7,2015-12-31,7,341.280,0.040
8,2015-06-30,4,"2,903.940",0.210
9,2014-12-31,5,465.060,0.070
10,2014-09-30,1,303.730,0.050
11,2014-06-30,1,19.770,0.000
12,2013-12-31,1,28.390,0.010
13,2013-06-30,2,32.380,0.010
14,2012-12-31,6,"1,129.520",0.250
15,2012-09-30,2,"1,968.750",0.510
16,2012-06-30,12,"3,170.220",0.750
17,2012-03-31,2,"2,388.500",0.520
18,2011-12-31,9,"2,752.710",0.640
19,2011-09-30,2,"2,384.140",0.420
20,2011-06-30,9,"2,934.290",0.490
21,2011-03-31,3,"3,621.570",0.580
22,2010-12-31,4,"2,572.300",0.430
23,2010-09-30,2,"3,140.700",0.460
24,2010-06-30,5,"3,945.320",0.640
25,2010-03-31,2,"4,746.750",0.560
26,2009-12-31,12,"8,582.710",1.100
27,2009-09-30,3,"7,168.830",1.090
28,2009-06-30,12,"9,925.440",1.490
29,2009-03-31,3,"5,046.820",0.910
30,2008-12-31,7,"4,244.710",1.200
31,2008-09-30,4,"4,424.160",1.150
32,2008-06-30,7,"7,672.770",1.230
33,2008-03-31,3,"8,090.000",0.940
34,2007-12-31,7,"8,928.280",1.000
35,2007-09-30,3,"7,960.240",0.810
36,2007-06-30,5,"6,177.920",0.760
37,2007-03-31,2,"2,401.890",0.320
38,2006-12-31,4,412.510,0.100
39,2006-06-30,6,603.730,0.190
40,2005-12-31,6,"1,634.900",0.760
41,2005-09-30,3,"1,783.980",0.740
42,2005-06-30,4,"2,037.110",0.750
43,2005-03-31,2,"2,037.080",0.640
44,2004-12-31,3,"2,826.670",0.720
45,2004-09-30,2,"2,843.210",0.620
46,2004-06-30,3,"2,744.040",0.600
47,2003-12-31,1,"2,753.150",0.540
48,2003-06-30,2,"1,157.730",0.190
49,2003-03-31,2,"2,701.880",0.470
50,2002-06-30,4,"2,075.070",0.320
51,2002-03-31,3,"7,652.620",1.320
52,2001-12-31,1,164.500,0.030
53,2001-03-31,1,"1,305.660",0.180
