序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,8,"41,579.320",6.310
2,2017-09-30,5,"40,893.870",7.170
3,2017-06-30,39,"54,442.680",13.980
4,2017-03-31,12,"66,079.010",13.820
5,2016-12-31,70,"98,952.080",19.190
6,2016-09-30,10,"79,649.920",15.220
7,2016-06-30,50,"103,408.600",20.320
8,2016-03-31,12,"84,375.910",14.610
9,2015-12-31,57,"154,317.390",22.030
10,2015-09-30,12,"76,170.510",15.880
11,2015-06-30,25,"79,561.040",13.270
12,2015-03-31,12,"117,049.930",14.070
13,2014-12-31,20,"58,152.940",16.060
14,2014-09-30,13,"88,105.190",18.050
15,2014-06-30,50,"120,266.710",26.090
16,2014-03-31,13,"51,017.620",17.380
17,2013-12-31,21,"26,392.450",12.620
18,2013-09-30,6,"17,463.390",7.300
19,2012-12-31,1,59.210,0.060
20,2006-12-31,1,30.860,0.100
21,2006-06-30,1,63.110,0.180
22,2005-12-31,1,45.760,0.180
23,2005-06-30,1,36.220,0.180
24,2004-12-31,1,39.750,0.180
25,2004-06-30,1,44.700,0.180
26,2003-12-31,1,61.670,0.260
27,2002-06-30,1,10.320,0.020
28,2001-12-31,2,"1,089.450",2.420
29,2001-06-30,1,824.940,1.170
30,2000-12-31,1,"1,208.750",1.580
