序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,69,"10,019.610",1.110
2,2017-09-30,1,"6,363.410",0.650
3,2017-06-30,64,"13,060.920",1.290
4,2017-03-31,2,"13,371.750",1.200
5,2016-12-31,66,"30,050.220",2.610
6,2016-09-30,3,"13,860.700",1.160
7,2016-06-30,55,"4,970.660",0.480
8,2015-12-31,51,"18,051.750",1.240
9,2015-09-30,3,"4,832.280",0.440
10,2015-06-30,39,"12,189.760",0.720
11,2014-12-31,36,"15,825.480",1.150
12,2014-09-30,1,26.380,0.000
13,2014-06-30,31,"4,752.350",0.590
14,2014-03-31,2,"1,151.900",0.150
15,2013-12-31,27,"4,927.640",0.600
16,2013-09-30,1,113.180,0.010
17,2013-06-30,22,"3,135.820",0.500
18,2012-12-31,19,"5,357.770",0.580
19,2012-09-30,1,"1,750.740",0.310
20,2012-06-30,20,"6,043.750",0.930
21,2012-03-31,1,"1,505.940",0.240
22,2011-12-31,15,"4,611.170",0.830
23,2011-09-30,3,"2,630.350",0.400
24,2011-06-30,26,"8,083.630",1.030
25,2011-03-31,5,"10,509.620",1.170
26,2010-12-31,37,"23,526.590",3.350
27,2010-09-30,8,"13,199.190",1.770
28,2010-06-30,35,"21,089.450",3.270
29,2010-03-31,8,"48,301.380",4.170
30,2009-12-31,41,"127,050.980",10.460
31,2009-09-30,10,"163,647.960",14.600
32,2009-06-30,70,"397,020.940",26.380
33,2009-03-31,9,"105,661.320",10.320
34,2008-12-31,36,"74,101.400",13.930
35,2008-09-30,10,"142,687.930",42.680
36,2008-06-30,48,"226,396.790",55.220
37,2008-03-31,13,"401,383.550",41.960
38,2007-12-31,59,"757,904.130",61.420
39,2007-09-30,15,"358,337.140",31.560
40,2007-06-30,53,"233,533.660",50.610
41,2007-03-31,11,"84,823.600",25.770
42,2006-12-31,20,"98,154.190",35.150
43,2006-09-30,8,"45,892.460",28.640
44,2006-06-30,12,"18,971.430",14.860
45,2005-12-31,2,191.990,0.250
46,2005-06-30,2,167.210,0.260
47,2004-12-31,3,589.510,0.850
48,2004-09-30,1,435.970,0.520
49,2004-06-30,3,"1,357.390",1.600
50,2003-12-31,3,864.550,0.900
51,2003-06-30,2,646.640,0.510
52,2002-12-31,7,"4,517.150",3.350
53,2002-09-30,1,475.710,0.280
54,2002-06-30,13,"6,948.440",3.820
55,2001-12-31,2,771.020,0.470
56,2000-06-30,1,115.680,0.080
