序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2017-12-31,180,"112,824.380",5.790
2,2017-09-30,22,"46,805.720",2.470
3,2017-06-30,118,"49,776.220",3.040
4,2017-03-31,11,"41,083.760",2.360
5,2016-12-31,77,"69,125.770",3.890
6,2016-09-30,9,"45,261.870",2.460
7,2016-06-30,59,"51,850.540",2.570
8,2016-03-31,6,"31,691.180",1.280
9,2015-12-31,70,"75,965.070",2.450
10,2015-09-30,15,"55,855.680",3.210
11,2015-06-30,69,"66,622.240",3.710
12,2015-03-31,3,"21,747.330",1.250
13,2014-12-31,106,"110,499.650",7.300
14,2014-09-30,7,"22,072.050",1.780
15,2014-06-30,48,"46,763.810",4.720
16,2014-03-31,2,"12,421.900",1.410
17,2013-12-31,46,"56,213.950",5.820
18,2013-09-30,4,"28,665.470",3.400
19,2013-06-30,23,"41,121.950",5.420
20,2013-03-31,5,"36,337.980",4.570
21,2012-12-31,25,"56,610.090",6.630
22,2012-09-30,8,"58,639.640",6.460
23,2012-06-30,35,"73,046.720",7.660
24,2012-03-31,8,"59,929.560",6.000
25,2011-12-31,43,"97,092.370",9.300
26,2011-09-30,8,"68,492.730",6.260
27,2011-06-30,28,"52,985.820",5.050
28,2011-03-31,4,"45,573.710",3.790
29,2010-12-31,33,"111,018.010",7.920
30,2010-09-30,5,"50,440.710",3.340
31,2010-06-30,21,"28,279.520",2.720
32,2010-03-31,2,"17,661.500",1.020
33,2009-12-31,15,"19,642.460",1.380
34,2009-09-30,3,"9,372.660",0.880
35,2009-06-30,19,"30,527.160",2.660
36,2009-03-31,4,"12,780.280",1.500
37,2008-12-31,23,"25,912.840",7.600
38,2008-09-30,4,"14,820.560",3.390
39,2008-06-30,11,"27,987.500",6.640
40,2008-03-31,5,"33,156.580",5.540
41,2007-12-31,9,"16,259.720",2.330
42,2007-09-30,4,"25,971.860",3.200
43,2007-06-30,14,"26,537.450",5.140
44,2007-03-31,3,"19,155.930",3.590
45,2006-12-31,18,"14,093.090",4.320
46,2006-09-30,1,"3,567.820",1.350
47,2006-06-30,7,"4,243.890",1.640
48,2006-03-31,2,"6,138.360",2.850
49,2005-12-31,27,"19,746.750",9.830
50,2005-09-30,3,"7,613.850",3.610
51,2005-06-30,15,"11,720.740",6.390
52,2005-03-31,5,"5,321.810",3.020
53,2004-12-31,11,"6,365.280",3.510
54,2004-09-30,5,"5,734.650",3.170
55,2004-06-30,8,"3,184.090",2.130
56,2003-12-31,5,"1,206.520",0.840
57,2002-12-31,6,"3,346.100",1.580
58,2002-09-30,1,"1,800.780",0.710
59,2002-06-30,9,"3,870.570",1.480
60,2001-12-31,3,"8,821.370",3.640
61,2001-09-30,2,"12,603.800",4.530
62,2001-06-30,2,"15,744.000",4.720
63,2001-03-31,2,"18,397.090",5.890
