序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,10,783.920,0.500
2,2018-09-30,4,"1,441.810",0.930
3,2018-06-30,8,"1,703.430",0.990
4,2018-03-31,1,458.070,0.230
5,2017-12-31,6,"2,569.640",1.160
6,2017-09-30,1,"2,343.350",0.890
7,2017-06-30,5,306.520,0.120
8,2016-12-31,11,"4,474.340",1.190
9,2016-06-30,6,676.850,0.230
10,2016-03-31,1,"2,069.260",0.680
11,2015-12-31,1,134.110,0.030
12,2015-06-30,1,69.850,0.020
13,2013-06-30,3,292.700,0.210
14,2012-12-31,1,22.270,0.010
15,2012-06-30,1,58.030,0.030
16,2011-12-31,2,197.470,0.100
17,2008-03-31,1,455.850,0.270
18,2007-06-30,1,"2,159.960",2.160
19,2006-12-31,1,19.670,0.040
20,2006-06-30,1,40.820,0.060
21,2005-12-31,1,35.340,0.060
22,2005-06-30,1,33.110,0.060
23,2004-12-31,1,31.530,0.060
24,2004-06-30,1,33.940,0.060
25,2002-12-31,1,"1,276.510",2.370
26,2002-09-30,1,"1,734.470",3.020
27,2002-06-30,2,"1,805.630",3.090
28,2002-03-31,1,592.460,1.230
29,2001-12-31,1,253.390,0.540
