序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2019-03-31,1,262.380,0.020
2,2018-12-31,77,"16,695.800",1.240
3,2018-09-30,1,"5,788.020",0.440
4,2018-06-30,49,"11,830.360",0.900
5,2017-12-31,50,"13,718.320",0.800
6,2017-06-30,44,"15,177.400",0.870
7,2017-03-31,2,"1,831.580",0.090
8,2016-12-31,50,"18,810.020",1.050
9,2016-06-30,67,"13,638.280",0.780
10,2015-12-31,62,"18,944.160",0.730
11,2015-09-30,1,"4,737.160",0.190
12,2015-06-30,59,"27,119.570",0.570
13,2015-03-31,2,"5,665.260",0.210
14,2014-12-31,76,"73,111.780",6.080
15,2014-09-30,1,603.960,0.070
16,2014-06-30,54,"30,355.760",4.580
17,2014-03-31,5,"16,427.080",2.630
18,2013-12-31,63,"37,637.430",6.270
19,2013-09-30,1,375.290,0.060
20,2013-06-30,72,"73,305.660",11.060
21,2013-03-31,11,"84,119.500",9.820
22,2012-12-31,75,"163,114.330",37.960
23,2012-09-30,7,"63,419.410",16.250
24,2012-06-30,80,"173,640.710",38.640
25,2012-03-31,11,"85,574.320",19.120
26,2011-12-31,57,"97,600.630",20.520
27,2011-09-30,3,"29,870.350",6.720
28,2011-06-30,41,"42,607.860",8.390
29,2011-03-31,1,"5,898.000",1.050
30,2010-12-31,36,"73,409.830",13.520
31,2010-09-30,7,"81,681.570",17.450
32,2010-06-30,34,"69,690.520",18.100
33,2010-03-31,8,"55,383.750",11.350
34,2009-12-31,15,"38,068.250",8.780
35,2009-09-30,8,"40,615.910",10.170
36,2009-06-30,10,"7,600.850",2.600
37,2009-03-31,7,"20,175.690",7.930
38,2008-12-31,13,"11,328.440",7.140
39,2008-09-30,6,"11,345.410",6.110
40,2008-06-30,12,"11,847.090",4.940
41,2008-03-31,5,"17,350.240",5.180
42,2007-12-31,11,"34,923.560",7.530
43,2007-09-30,7,"68,361.540",13.730
44,2007-06-30,9,"5,798.080",1.790
45,2007-03-31,3,"5,099.240",1.680
46,2006-12-31,7,"2,197.750",1.490
47,2006-09-30,2,"2,603.810",1.910
48,2006-06-30,9,"4,051.380",2.560
49,2006-03-31,4,"7,638.450",6.400
50,2005-12-31,12,"6,881.100",5.800
51,2005-09-30,6,"7,982.030",5.830
52,2005-06-30,22,"12,775.010",8.910
53,2005-03-31,5,"5,116.180",3.990
54,2004-12-31,15,"22,342.640",13.000
55,2004-09-30,4,"15,949.060",8.380
56,2004-06-30,15,"28,771.720",13.890
57,2004-03-31,1,"14,741.210",5.740
58,2003-12-31,5,"21,481.290",5.550
59,2003-09-30,1,"15,099.050",6.820
60,2003-06-30,5,"19,934.810",8.890
61,2003-03-31,3,"20,374.130",10.300
62,2002-12-31,14,"17,637.950",11.790
63,2002-09-30,3,"14,034.180",7.960
64,2002-06-30,21,"25,278.680",14.130
65,2001-12-31,1,160.000,0.110
